,company,headline,date,overall_rating,author_position,pros,cons
0,Absa,great benefit,2022-04-06,3.0,IT Helpdesk Support,the open door and family-like colleagues,Workers are a little bit underpaid especially contract workers
1,Absa,Decent Employer,2022-04-05,4.0,Marketing Executive,"-Extra perks, gym, lunch cards 20 dollars a day
-good HR system",-too may hours asked of you
2,Absa,just fine,2022-04-04,3.0,Anonymous Employee,"professionalism, good learning environment for starters.","no career growth, poor bonus rewards for lower cadres"
3,Absa,Good company to work for,2022-04-04,4.0,Transactional Banker,Good company to work for,Not bad company to work for
4,Absa,Good company,2022-03-30,4.0,Technical Lead,Good company to work with,None of them in absa
5,Absa,Rates,2022-03-25,5.0,Management,Good benefits great people to work with,Very stressful and big work load
6,Absa,Good company,2022-03-25,5.0,Data Engineer,One of the best company with good working condition,non that i have experianced
7,Absa,Slave drivers,2022-03-23,1.0,Sales,"None, None, and absolutely none!",Don't care about their staff and managers are ego-driven
8,Absa,Great to work at,2022-03-22,5.0,Senior Product Manager,Great company in terms of flexibility of work hours,None that i can think off
9,Absa,Bank,2022-03-19,5.0,Personal Banker,Very Good relationship with everyone,Nothing nothing nothing nothing nothing
10,Absa,Best Company to work for,2022-03-16,3.0,Project Administrator II,"Great culture
Collaborative 
Team work
Learning opportunities","Micro managing , still favours the manority  and the use of Afrikaans langauge"
11,Absa,Work smart,2022-03-16,5.0,Inbound Customer Service Agent,Great good experience wonderful  job,Good great well excited job
12,Absa,IntelliMatch developer,2022-03-15,4.0,Intellimatch Developer,"Remote work, tech focused, broad span of business",Long hours and high expectations
13,Absa,N/A,2022-03-15,5.0,Senior Business Manager,"Value, passionate, care, success, ambitious",N/A n/a n/a n/a n/a
14,Absa,Nice place to work,2022-03-13,3.0,Program Manager,"Structured environment
Free to change roles easily across the organisation",Limited span of control or acceptance of doing things better/differently
15,Absa,Great,2022-03-02,5.0,Accountant,Great experience and opportunity base,Return to office forced policy
16,Absa,Good company to work for,2022-03-01,4.0,Credit Analyst,"Lots of staff benefits
Career opportunities
Flexible working hours","High risk on retrenchments
Structure to high tht one cannot get promotion"
17,Absa,Great Place,2022-02-25,4.0,Sales Enablement Specialist,"Allows for creative thinking
Great environment",Slow to react in the market
18,Absa,Salaries,2022-02-24,3.0,Credit Risk Analyst,Good benefits in case of a death.,Little to no career development
19,Absa,Absa is one big family,2022-02-24,4.0,IT Solutions Architect,Good culture supportive and eager to share,No specific negative comments to make
20,Absa,JOB,2022-02-22,1.0,Merchandising,Earned money for daily upkeeping,Overworked with delays in payments
21,Absa,Great,2022-02-21,5.0,Test Automation Engineer,"Support
Fair pay with benefits
Job security","Legacy systems
Hierarchy makes it hard to get your ideas heard"
22,Absa,Great Benefits,2022-02-18,4.0,Analyst,Great Benefits and Company Culture,Depending on environment no room for growth
23,Absa,Growth prospects,2022-02-17,3.0,Internal Auditor,"Stability
Colleagues are helpful
Remote work conditions
Cellphone","Management misalignment 
Lack of transparency"
24,Absa,N. A,2022-02-16,4.0,Credit Analyst,The culture is quite amazing..,I cannot think of any cons.
25,Absa,Good company,2022-02-13,5.0,Anonymous Employee,Very good to work for,Long shifts are too many
26,Absa,Culture,2022-02-13,5.0,Sales Representative,The culture is good and fun,i don't have any to say
27,Absa,Great place to work,2022-02-12,5.0,Head of Strategy,Great Boss to work for,Too bureaucratic and center driven
28,Absa,It was okay,2022-02-11,2.0,Compliance Analyst,Good working hours and compensated,Work pressure and office politics
29,Absa,Opportunities,2022-02-08,2.0,Bank Teller,You get incentives if the branch performs well,There are no opportunities for growth if you work in the branch
30,Absa,Environment,2022-02-06,3.0,Credit Risk Analyst,"A stable and blue-chip company
A relaxed environment and a small team
A professional environment","Not appreciated
Non-diverse
Non-intrapreneurial
Lowest ranking in the sector"
31,Absa,Salary and work stability,2022-02-04,1.0,Private Banker,"Work environment is great.
No micro management","Incentive is not aligned with rating
Bonus
No work stability"
32,Absa,supporting private banker,2022-02-01,5.0,Sales Support,The very best company ever,There is none for this company
33,Absa,Work life balance.,2022-01-31,5.0,Credit Analyst,Work life balance. Career opportunities.,Urgency of everything you do.
34,Absa,Teller review,2022-01-30,5.0,Bank Teller,"* Great staff benefits like reduced fees on banking products
* Working times are not that late","- High sales targets to reach for
- Tedious and strict rules to follow"
35,Absa,well done,2022-01-30,5.0,Business Analyst,"great
staff oriented 
client centric
wellness support
positive incentives","fast paced
staff concerns
time management skills
meetings
reviews"
36,Absa,.,2022-01-26,5.0,Human Resources,"Great opportunities to develop to grow your career
Flexibily working
Staff benefits & perks","Red tape, highly pressurised environment,"
37,Absa,Bad culture,2022-01-25,1.0,Anonymous Employee,"Racism, illtreatmant of black employees",No Transformation. White male dominant
38,Absa,Great company to work for,2022-01-24,5.0,Accountant,Healty working environment and professionalism,Extended hours of work usually
39,Absa,Great Company,2022-01-20,4.0,IT Operations Analyst,Full of opportunities to take advantage of.,Cant think of any at the moment
40,Absa,Good company to work for,2022-01-18,3.0,Anonymous Employee,"Stable and good job security. 
People are friendly",Very pressurized environment to work in.
41,Absa,A leading financial institution with excellent values,2022-01-14,5.0,Project Manager,"Customer focused 
Provide staff with excellent support structures
Encourage development and growth",BEE and EE roles can be limiting for certain roles
42,Absa,Good,2022-01-13,4.0,User Experience Designer,Opportunities for advancement and growth,"Work can be boring, very corporate"
43,Absa,Great learning ground,2022-01-07,5.0,Senior Finance Business Partner,"Good manager, great learning experience, high performance teams","None for me, overall good exposure"
44,Absa,not recommnd,2022-01-05,2.0,Anonymous Employee,management is very good in this place,"no competitive salary, not much benefit"
45,Absa,Excellent company culture.,2021-12-27,5.0,"Customer Services, Bank Teller, Administrator",Salaries and great working environment.,"Instability,very difficult system to navigate."
46,Absa,Best company to work for.,2021-12-27,5.0,Data Architect,Great working environment and micro management.,Doing same thing over and over.
47,Absa,Work environment,2021-12-25,5.0,Senior Trader,Great place to work. Super smart team with amazing systems.,Can’t think of any. Great place overall.
48,Absa,Teller,2021-12-25,3.0,Bank Teller,Pension fund and medical aid,"Hours, tellers are sometimes really slow"
49,Absa,Good working condition,2021-12-24,5.0,Sales Manager,High integrity with the clients,No phones at work and respect between employees
50,Absa,Rating,2021-12-23,5.0,Lawyer,Pros are that they are good employers,Cons are that I'll need more time to respond
51,Absa,Professional,2021-12-19,4.0,Fraud Specialist,"Excellent innovation, good morals, perfectionist, result oriented","Bureaucracy, compensation lacking, integrity issues"
52,Absa,Engineering,2021-12-15,5.0,Software Engineer,Benefits were good and fair,Long hours and no overtime
53,Absa,Good company but Political,2021-12-10,3.0,Business Analyst,"Good place to work
Benefits are very good","Very Political (It's about who you friends with). Sometimes you could be doing work that is very good, but you don't get recognised for it.
Getting promoted or moving up the career ladder is almost non-existent"
54,Absa,Its best bank to work with!,2021-12-03,5.0,Senior Software Engineer,Work-life balance and good ppl around.,Nothing to say about it.
55,Absa,Employee experience,2021-11-29,3.0,Sales Consultant,Not sure at this point really.,No empathy or compassion displayed.
56,Absa,A world class,2021-11-26,4.0,Cash Services Manager,Highly profitable company with potential for growth for its workers,Very strict and less flexible company
57,Absa,Good,2021-11-26,5.0,Manager,Like it too much lol,"No pros
It’s a good form"
58,Absa,Salary,2021-11-25,1.0,Account Manager,"Good to be here 
Not bad",Bad food provided at lunch time
59,Absa,Great company to work for,2021-11-24,3.0,"Senior Manager, Customer Experience","Good company benefits 
Lots of opportunities to grow internally",Performance bonuses can be subjective
60,Absa,Nice company to work for,2021-11-23,3.0,Python Software Engineer,The company offers flexibility to work.,After splitting from Barclays there were a lot of changes that introduced friction from the technology viewpoint.
61,Absa,Underpayment,2021-11-22,1.0,Fraud Specialist,I don’t have a good reasons,"Underpayment
Unappreciative
Overworking 
Lot of hours 
No diversity"
62,Absa,Good Employer,2021-11-22,5.0,Relationship Manager,"Good Salary, career prospects, bonus pay etc","Long Hours, favoritism, poor productivity management"
63,Absa,.,2021-11-20,5.0,Senior Consultant,"Friendly staff as well as culture, good company",Restructuring and staff turnover not great
64,Absa,Great Company to Work for.....,2021-11-18,4.0,Channel Manager,"Excellent benefits, perks and work environment.","Share more with staff, be more forthcoming."
65,Absa,Unseen,2021-11-17,3.0,Senior Consultant,No bank charges staff pricing,Harder for promotion and growth
66,Absa,Average,2021-11-17,3.0,Actuarial Specialist,Best study policy in the industry,Work life balance and structure
67,Absa,Great Place,2021-11-15,5.0,Business Analyst,Really a great place to work,nothing comes to mind. Work can be gruelling at times but you are working on great projects.
68,Absa,Great company,2021-11-09,5.0,Anonymous Employee,"- great benefits
-training of employees is key
-flexible work environment",-too much pressure at times
69,Absa,growth,2021-11-02,5.0,Premium Banker,"good working environment, easy to learn new things.",management is very supportive towards growth of employees
70,Absa,Field of work,2021-11-01,5.0,Customer Service,"Team members are supportive
Good place to work as there is growth potential",Sometime it gets really busy whereby you have to work at a fast paced and ensuring everything is done well
71,Absa,Normal Company,2021-10-31,3.0,Student,A good company that gives you the opportunity to grow.,They normally don't pay you according to your worth.
72,Absa,Interesting job in finance sector,2021-10-29,5.0,Senior Software Developer,"Good salary
Great benefits
Interesting work in finance sector","Big corporate, sometimes it takes time to push simplest things"
73,Absa,"Poor leadership,  poor pay",2021-10-29,2.0,Analyst,"Good training opportunities
Some really good colleagues",Lack of soft skills and innovation from middle leadership
74,Absa,Good Company to work for while starting out,2021-10-21,4.0,Junior Product Analyst,Great work culture and work life balance,Implementation of new ideas take time
75,Absa,Good,2021-10-20,3.0,Identity and Access Management,Growth good leadership and success,Salary Salary and Salary that’s all
76,Absa,Great team,2021-10-19,4.0,User Experience Copywriter,"- colleagues are friendly and supportive 
- line manager cares about your well-being and is interested in seeing you grow
- challenging work environment 
- good work-life balance","- getting a fair bonus and yearly increase is difficult 
- working with other departments can be difficult
- last minute requests which indicates a lack of respect and understanding of the role of a copywriter"
77,Absa,A great company.,2021-10-17,5.0,Project Manager,Perfect and dynamic working environment,Some level of unresponsiveness from management
78,Absa,Great experiences,2021-10-14,4.0,Risk Analyst,Great learning environment that challenges you,"Not so great reward packages (bonuses etc.,)"
79,Absa,Absa,2021-10-14,1.0,IT Risk Consultant,"Depending on the department, it has a good work-life balance and flexibility.",The annual restructuring that has been taking place for the past few years is discouraging and exhausting.
80,Absa,Great employer,2021-10-08,5.0,Solution Architect,Company offers flexi hours which is great,Too many meetings which can be daunting
81,Absa,Enjoyable,2021-10-05,5.0,Equity Research Associate,Great for those who want work/life balance,Relaxed for people looking to grow
82,Absa,ok,2021-10-05,3.0,Relationship Manager,Work life balance excellent. Great culture,too many systems not making life for customers easy
83,Absa,Great company,2021-10-04,4.0,Anonymous Employee,Daily fruits and good salary,I can’t think of any
84,Absa,Evolving with change,2021-10-01,3.0,Asset Advisor,Business bank was dynamic and always room for growth. Ambition is key.,Persistent change can be an advantage and adisadvantage. It's an environment of vast diversity not everyone will be on the the same operational level. However one also needs to understand that people management is the most complex part of managing a business.
85,Absa,"great company , staff upliftment and upskilling",2021-09-29,5.0,Sales Representative,get exposure to the banking industry and career growth,being stuck on the same position for years
86,Absa,It is a good company to work for,2021-09-18,4.0,Anonymous Employee,They pay the best salaries,They dont pay on time
87,Absa,Rating,2021-09-17,5.0,Data Analyst,Ability to move departments internally,Nothing much overall good place to work
88,Absa,A Machiavellian Culture,2021-09-16,1.0,Senior Leadership,"Some great people, trying their hardest to do amazing things.","Unfortunately the senior leadership team are to busy focusing on profit to enable their teams to thrive.
Hence the culture is hierarchical and siloed, which in turn kills moral and leads to self-centred rather than collaborative behaviours."
89,Absa,Job experience at absa,2021-09-16,3.0,Customer Networking Specialist,"Health insurance
Pension
Lower interest rate loans
Those
Are","Rigid structure
Process driven
Poor senior management style
Traditional"
90,Absa,"Great company, love the culture",2021-09-15,4.0,Senior Specialist Product Development,Takes care of its employees,There is not enough money paid for performance bonus
91,Absa,non long term,2021-09-07,3.0,Senior Financial Analyst,A good place to learn.,not everyone is treated equally.
92,Absa,It's a good company to work for depending on the department you are working,2021-09-04,3.0,Customer Service Manager (CSM),"Takes care of their staff member,",Bonuses not great if you are based in the branch level but good bonuses for the once that are based at head office. If you to get promoted you have to know someone higher (most of the time) it's about who you know which i feel it's not fair.
93,Absa,Overall experience,2021-09-03,4.0,Internship,"The environment was inviting, I learnt a lot as this was my first formal job",Long hours and having to deal with rude customers sometimes
94,Absa,"It is a good international bank, you can grow your career..",2021-09-02,4.0,Customer Service Advisor,"Good salary even for starters'
Good Compensation,",Fixed time and pressure at work
95,Absa,Great learning experience,2021-08-31,4.0,ECM Analyst,Strong personnel and broad reach,Bonus’ below industry norms for IB
96,Absa,Depends on the team,2021-08-24,3.0,Banking,Openness to getting a deal done and working together towards a goal. Some great teams and some difficult teams but up to you to navigate it,"culture, comp, politics all play a role in making the environment difficult at times."
97,Absa,Excellent,2021-08-23,5.0,Technical Support Engineer,Good to work for Absa.,Have to be a n right position to get trained right skills.
98,Absa,Good company,2021-08-23,5.0,Principal Partnerships Manager,"Great benefits 
Great systems
Focus on culture
Delivery focused","Bureaucratic
Process heavy
Governance intense
Slow to turn"
99,Absa,Great pecks,2021-08-19,3.0,Business Analyst,Good financial service benefits such as low-interest rate. You are able to deliver products that will have direct impact on the lives of ordinary people,"There is poor career development plan and succession planning. There organizational culture is traditional but in some areas it is collaborative and modern, confusing culture and lack of staff movements."
100,Absa,Good,2021-08-19,5.0,Administrative,"Good
Good salary 
Basic working hours
Management all good",No cons just busy environment which is great
101,Absa,salary review,2021-08-17,2.0,Senior Human Resources Business Partner,"flexibility, scope of work, supportive leadership, company culture, level of work","poor financial reward
political 
lack of objectivity from leadership
leadership with long standing organisational memory slowing down progressive thinking
not technologically advanced"
102,Absa,Fair employer,2021-08-16,3.0,Anonymous Employee,"Good employer with employee benefits, training programmes for development and progression.",Year on year increases do not always indicate the financial success of the bank. Reliance on good bonus structure.
103,Absa,Great company to work for,2021-08-16,5.0,Private Banker,Culture is great and open door policy is encouraged.,No cons that i can think of
104,Absa,Good company to learn,2021-08-14,4.0,Associate,"Learning and development, good benefits, leave days are good with 28 days at associate level",Difficult to move within the group if you don’t network extremely hard. You have to make lots of friends
105,Absa,Good,2021-08-13,4.0,Data Engineer,"Good working environment, very professional",Very demanding of your time
106,Absa,Best company to work for,2021-08-12,4.0,Enterprise Banker,"Good benefits for staff , less interest rates on car house and no bank charges","None I can think off , no cons for me"
107,Absa,Its best bank to work with!,2021-08-11,4.0,Senior Software Engineer,IT infrastructure sometimes bothers while working remotely,good people around so you always enjoy working here
108,Absa,"Absa, terrible company to work for",2021-08-11,1.0,Vice President,"None, 
except for getting my salary
Development plans if you apply for them","Racist company csught up in apartheid SA
No transformation
Leaders lead by instilling fear
No fairness
As a person of colour, you will never be promoted
A lot of biasses
For you to succeed or be taken seroously, you have to be white"
109,Absa,Good,2021-08-03,4.0,IT Service Delivery Manager,Flexible fast payed environment where one learns a lot and compensated accordingly.,"Clean desk policy :) :). You dont own a desk, sit anywhere there is space. I couldnt adjust :)"
110,Absa,Great place to work !,2021-07-28,5.0,Head of Customer Service,Good working atmosphere or place to work,No promotion for those who have worked long
111,Absa,Ok,2021-07-24,3.0,Analyst,Good bank benefits and rates,Everything else in the organization
112,Absa,Relationship management,2021-07-16,5.0,Assistant Relationship Manager,Excellent customer service at Absa,No opportunities of growth within the bank
113,Absa,Challenging but rewarding,2021-07-15,5.0,Business Analyst,"Great people
Fun projects with great team",None that I can think of
114,Absa,CIB,2021-07-15,4.0,Corporate Finance Executive,"Professional, sound renumeration, and large group of professionals",Continuous change at senior management and executive level for last decade
115,Absa,ABSA Private Bank,2021-07-13,4.0,Private Client Banker,Flexibility Consistent Upskilling Great products,"Instability
High staff turnover
Poor processes
Low risk appetite
Poor incentives"
116,Absa,Actuary,2021-07-13,4.0,Head of Product Development,"Good perks, multi national, salary",Takes time to get things done
117,Absa,The service is excellent at their store.,2021-07-12,5.0,Account Manager,The service is excellent at their store.,They open late and I hate that.
118,Absa,Good place to work at,2021-07-05,4.0,Systems Administrator,Friend culture and work environment,Work overtime 50% of the time
119,Absa,Life at absa,2021-07-04,3.0,Anonymous Employee,"- Not to focused on working hours
- Team collaboration is awesome
- Keep you in the loop of what's happening at the organisation","- less growth, one on one's with managers are not very common"
120,Absa,Good company to work for.,2021-07-02,5.0,Private Banker,"Good benefits, market related salaries",Continious change in Exco and/directors.
121,Absa,Good,2021-06-30,4.0,Financial Analyst,They pay the salary on time,Their systems are quite old
122,Absa,Potential to Learn,2021-06-25,3.0,Senior Governance and Control Manager,"There's a wide team of specialists that you can leverage off from for an all round input.

Pan African imprint allows you to not only factor in the South African context.",There can be lack of an appreciation for the non South African limitations on certain control implementations which makes certain strategic implementations difficult.
123,Absa,Great company,2021-06-22,4.0,Senior Credit Analyst,"Great work/life balance
Opportunity for growth",None I experienced. Awesome place to work.
124,Absa,Good company,2021-06-19,5.0,Senior Document Specialist,Goo company that pays and value employees,Too much work and pressure
125,Absa,Great bank to work for,2021-06-14,5.0,Head Operational Risk,"Great bank with great people, Values,
Work environment and
Benefits","Salary increase and bonuses
Limit career progression"
126,Absa,Working at ABSA,2021-06-08,4.0,Analyst,"Culture, management, hierarchy, experience, status","Hours, opportunities, unbundling, legacy, dated practices"
127,Absa,Good benefits,2021-06-08,3.0,Retail Sales Consultant,Very good benefits and salary.,"Long working hours, stressful, no overtime payments, little to no social life."
128,Absa,good place to work in,2021-06-07,5.0,Customer Service,"There is room for growth, development",working till saterday overtime sometimes not paid
129,Absa,Great employer,2021-06-05,5.0,Head of Reward,"Large group, with many opportunities.","Over governed, lots of bureaucracy"
130,Absa,J,2021-06-02,4.0,Director,"Great, good, well done thanks",Here there global local and
131,Absa,A beautiful Organization,2021-05-30,4.0,Anonymous Employee,"Beautiful benefits, Amazing people and great organization to work for. Lots of opportunities and people oriented. Very supportive structures. In place.","Management team needs peoples skills, they make you feel worthless. They will tell you the have an open door policy but when go to them with valid and important questions then you are labeled difficult, impossible to work this."
132,Absa,Good,2021-05-27,5.0,Manager,"Culture, training and development, offices",Long hours depending on role
133,Absa,Customer Centric,2021-05-26,5.0,Business Systems Analyst,Value placed in all employees,Not always room for growth
134,Absa,Review,2021-05-26,2.0,Senior Business Manager,Proximity to senior C-suite executives,The company had mass retrenchments recently
135,Absa,its was a great experience as all workers are well rtaken care off,2021-05-22,3.0,Financial Analyst,too much workload on a regular basis,great benefits such as housing
136,Absa,Innovative and Dynamic Environment,2021-05-20,4.0,Account Manager,"Diversified FS group 
Access to Internal mobility
Flexible working environment
Future focused",Slower pace for internal change outside the tech space
137,Absa,good working environment,2021-05-19,5.0,Customer Service Advisor,it was a good place to work.,none. i loved the team i worked with
138,Absa,Corporate Politics,2021-05-19,2.0,Head of Fiduciary Advice and Fulfilment,"Big company
Good Risk and Compliance","Bad culture 
Centralized decision making
Lack of innovation"
139,Absa,work place,2021-05-18,3.0,Analyst,salary is competitive and benefits,working hours are too long
140,Absa,Growing and getting better,2021-05-18,3.0,Global and Africa Manager Custody and Settlements,New and exciting things to come,Improve systems and value the staff
141,Absa,"Leading Financial Services Company, with great potential",2021-05-17,5.0,Director Change Enablement,"Excellent Team, Great Systems, Focused on Customer Experience","Bureaucratic at times, Risk Appetite very low"
142,Absa,"One of the largest African Banks operating across 12 countries employing over 40,000 employees",2021-05-15,4.0,Chief Operating Officer,"Good development opportunities and support of career progression.
Excellent exposure to projects and transformation initiatives.",Sometimes the risk adverse culture hinders agility and delivery.
143,Absa,Work Experience,2021-05-11,5.0,Work Experience Student,"Everyone was welcoming 
Learnt a great deal",Small office but great work environment
144,Absa,four out of five,2021-05-09,4.0,Software Engineer,bank benefits = low interest rate bond and vehicle loan,promotion process is bizarre an convoluted
145,Absa,Pay and Culture,2021-05-08,3.0,Sales Consultant,"Great company benefits, community involvement and career opportunities",Company culture and compansation needs a lot of work.
