,company,headline,date,overall_rating,author_position,pros,cons
0,Google,"Great company, difficult to navigate",2022-06-21,5.0,Marketing Manager,"Opportunity to work with and learn from awesome, smart people. ample opportunities for learning from cross-functional teams, through internal interest groups and courses. Inclusive workplace. GREAT perks (the meals, beautiful campuses, flexible hybrid work model).","Very self-service oriented, meaning you have to learn things and navigate the org pretty much on your own. Very hard to get promoted, which can be demoralizing for some."
1,Google,"Great overall company culture, but it comes down to your team",2022-06-21,4.0,Program Manager,"Excellent employee benefits and competitive salary (usually the top of the market)
Lots of opportunity for professional growth and internal mobility
Perks are fantastic (free food, onsite gym, shuttle service, etc.)","I'm sure you've read all the great things about working at Google, such as the obvious like perks and salary. But do your due diligence when going through the interview process to get a feel for your team and manager. Ultimately, that is what is going to shape your day to day experience at the company. I ultimately left after a bad re-org that left me doing the work of 4-5 people by myself that was outside the scope of my level, yet I wasn't promoted when I brought it up to my manager."
2,Google,Not the same company anymore,2022-06-21,3.0,Director,"Smart, innovative and dedicated employees",New leaders with no technology or RRK background/experience
3,Google,Excellent experience,2022-06-21,5.0,Software Engineer(Internship),They cared about our internship experience (even remote).,"Physical internship would be better, but it was not what they can decide."
4,Google,Great,2022-06-21,5.0,Advertising,Great work environment and people,Lots of work sometimes from high ups
5,Google,"Good pay, working environment. Google is not the same as it was 10 years ago though.",2022-06-21,4.0,Google SWE,Freedom in working style and good pay. Rewarding work if you find a team that is a good fit.,"It's getting harder to take pride in the work as products decline and get shut down. Promo rewards new products and features rather than quality.

It's also harder than it used to be to move teams. Popular teams get a lot of people applying, and a lot of teams interview almost as if you are changing companies.

Unless you do ML, there is not much room for growth in a purely technical role. You have to shift into more of a leadership role."
6,Google,Good place to work,2022-06-21,5.0,Anonymous Employee,"People, perks, culture, learning, technology",There are few to be honest
7,Google,Front end,2022-06-21,4.0,Software Engineer SD2,work life balance is there,very demanding for some projects
8,Google,Rty,2022-06-21,2.0,Anonymous Employee,You can hold on to the corporation,Really like to connect with individuals
9,Google,Awesome,2022-06-21,5.0,User Experience Designer,Great place to work at,I have no cons to add
10,Google,User Experience Researcher,2022-06-21,5.0,User Experience Researcher,Google helps us open many opportunities when used correctly.,There is risk of being addicted to the internet.
11,Google,Excellent place to work,2022-06-21,5.0,Head of Department,"Excellent people who are motivated, smart and great to work with. 
Inspiring company mission and projects.
This company really care about culture and it's people",Can be difficult to navigate and decisions are made by consensus which means that some decisions can be slow
12,Google,Quantitative Researcher,2022-06-21,5.0,Quantitative Researcher,Good benefits & work-life balance,"Fast-paced, long-working hours, bread jam everything in between"
13,Google,Great,2022-06-21,4.0,Anonymous Employee,Good pay is really good,Work culture can get hectic
14,Google,Great company but hard to get promoted,2022-06-20,4.0,Software Engineer,"* Good engineering infrastructure and documentation.
* High impact projects.
* Good work/life balance.","* Difficult to get promoted, and your pay doesn't increase until you do."
15,Google,Great company but seems lost,2022-06-20,4.0,Head of Sales,"Great company, one of the highest paid ad sales company, Excellent benefits, great workplace","Poor manager experience, company seems lost where future growth should come from, echo chamber at times, constant restructuring"
16,Google,Great,2022-06-20,5.0,Anonymous Employee,"ALL PROS, good environment, great teammates, excellent work culture","NO cons, travel time, weekend off"
17,Google,Good,2022-06-20,4.0,Senior Software Engineer,"Flexible hour, nice people, good",Nothing I can talk about
18,Google,n/a,2022-06-20,3.0,Anonymous Employee,"Salary, good management, flexi time, nice offices","long hours, hard work, slow progression"
19,Google,GRAD is Ugly,2022-06-20,2.0,Anonymous Employee,I join google because its Stable,But WLB because worse and now it has GRAD
20,Google,finance manager,2022-06-20,4.0,Finance Manager,amazing work life balance and great opportunity to grow,nothing i can think of
21,Google,Its good,2022-06-20,5.0,Anonymous Employee,"Good Food, Good People, Good Work",Sometimes you might end up in useless projects
22,Google,Project Manager,2022-06-20,4.0,Project Manager,Good pay and work-life balance,Enjoyed my time there really.
23,Google,Nice,2022-06-20,4.0,Staff Manager,"great environment
work life balance",no cons for that time
24,Google,great,2022-06-20,5.0,Cybersecurity Analyst,knowledge that will be forever kept,lots of learning that can be exhausting
25,Google,Great,2022-06-20,5.0,Brand Manager,Many perks for all the right people,None that I can think of
26,Google,it was really great working with google,2022-06-20,5.0,Senior Process Executive-Data,"had a very good team to work with 
nice opportunity to improve the skills",targets are high to reach
27,Google,Great place to work,2022-06-20,5.0,ABP,"Great place to work, great community and perks.",A lot of emails. Can take a while to review and change processes.
28,Google,Salary,2022-06-20,5.0,Software Engineer,free food tours good salary,lot of work and less remote work
29,Google,Loved it,2022-06-20,5.0,Anonymous Employee,Food money events salary etc,Not many except selling soul
30,Google,good,2022-06-20,4.0,Sales Associate,good environment and good benifits,too busy at the office
31,Google,Great,2022-06-20,4.0,Data Analyst,The office is really dope,Long hours per week lol
32,Google,Where ambition and careers fade,2022-06-20,1.0,Technical Program Manager,Work Life Balance is incredible,"What's worse than a wolf? A wolf in sheeps clothing. Google is every bit the same as your next corporate (with fantastic PR), its only evident when the 1-2 year honeymoon/sheen wears off. 

You eventually realize what you get paid in perks, you're sacrificing threefold in your career growth and pay."
33,Google,Great work culture,2022-06-19,5.0,Product Designer,"Environment you get is great for your overall growth, personal and professional.",I have never saw one.
34,Google,Good company to work for,2022-06-19,5.0,Software Development Engineer (SDE),"Good work life balance, good culture.",Move very slowly on everything.
35,Google,Pretty good,2022-06-19,5.0,Anonymous Employee,"Great company, exciting products, amazing benefits",None at all. Amazing company to work for
36,Google,Great Company for eningeer,2022-06-19,4.0,Software Engineer,"Great Company for engineers
Good work life balance","Too large to cooperate
Too large to work on something fun"
37,Google,all good,2022-06-19,5.0,Technical Support Engineer,"All good here, nice benefit",Nothing specfic to talk about
38,Google,Good,2022-06-19,4.0,Anonymous Employee,Collegial culture is a pro,Career progression and retention should be improved
39,Google,Decent place to work,2022-06-19,4.0,Associate Account Strategist,The food is good with a lot of options,You feel that you are just a small part of a big org after a while
40,Google,Great,2022-06-19,5.0,Software Engineer,Great place to work overall,Nothing bad to note for now
41,Google,Good,2022-06-19,3.0,Analyst,"Good experience and great culture
Good food",Good super fantastic mind blowing
42,Google,software,2022-06-19,5.0,Software Developer,no cant do that. thanks,no bonuses and few weeks for vacation
43,Google,Exquisite,2022-06-19,5.0,Software Engineer,Very good. Cool. Wow. Were my reactions when I join,Not as much programming as I thought :(
44,Google,Great Technology Company,2022-06-18,5.0,Junior Data Analyst,great work life balance. and work schedule.,Sometimes work schedule is hectic
45,Google,Nice place to work,2022-06-18,3.0,Registered Nurse,People are very helpful and friendly,It can feel very clique-y
46,Google,Headline,2022-06-18,5.0,Data Scientist,This company is changed my life,Sometimes we have to work extra hour
47,Google,Great place to work,2022-06-18,5.0,Anonymous Employee,It was a great place to work,There are no cons for this
48,Google,Great,2022-06-18,4.0,Custkmer Service,"Good management, good breaks good holidays",Low holidays long hours bad humours
49,Google,Great company,2022-06-18,5.0,Account Strategist,"Benefits, free food, great work culture","Very big structure, lots of different priorities"
50,Google,Great company,2022-06-18,5.0,Legal Operations Associate,The company cares about you. The training and benefits are top tier,Due to consistent changes you may get confused on what’s current.
51,Google,Good,2022-06-18,4.0,Anonymous Employee,"Salary
Team 
Hours 
Accessible 
Easy going","Time
Dependability on co workers 
Complaints 
Issues"
52,Google,Love it,2022-06-18,5.0,Anonymous Employee,Great leadership and transparency. Love working here,None that I can think of
53,Google,Good,2022-06-18,4.0,Content Writer,"Good Benefits
Reasonable Salary
Good location","Budget allocation
Food allowance was revoked"
54,Google,great company,2022-06-18,5.0,Partnership Manager,good motivated people and strong values,low growth trajectory outside of hubs
55,Google,GreatQ,2022-06-17,5.0,Anonymous Employee,Best food in cafeterias all around the world.,Slow progress on various projects
56,Google,Great company,2022-06-17,4.0,Anonymous Employee,Work from home policy is great,No cons for the company
57,Google,Good,2022-06-17,5.0,Delivery Driver,I am work with google pay india pvt.ltd.it was a great experience for me.I learned about several type of sales closing.it was a great advantage for me.,I like to learn more
58,Google,So many benefits,2022-06-17,5.0,Anonymous Employee,"Free food
Great insurance
Great culture
Smart people","Nothing really
Google is the best place to work for"
59,Google,Could have been better,2022-06-17,1.0,Anonymous Employee,"Big company, lots of people",I don't like Google that much
60,Google,Fine,2022-06-17,3.0,Sales Representative,Sales experience is good a.,Benefits are not very good a.
61,Google,"Great company to work at, tough to progress in same team",2022-06-17,5.0,"Associate Account Strategist, Global Customer Services","- Company culture
- Competitive compensation
- Perks
- Feedback & Guidance
- Ease of internal transfers","- Progression within team
- Repetitive work"
62,Google,Google Engineering,2022-06-17,3.0,Google Engineering Practicum,Good Good Good Good Good,Bad bad bad bad bad
63,Google,It’s Google,2022-06-17,3.0,Project Manager,It’s Google and it’s a search engine,I have none at the moment
64,Google,Friendly,2022-06-17,5.0,Junior Human Resources Manager,"very friendly , flexible and good environment",I see no cons working for google
65,Google,Work,2022-06-17,4.0,Software Engineer,The work life balance is very good.,Not much is bad it’s all good…
66,Google,Great environment,2022-06-17,5.0,Assembly Worker,love it here great people,No cons great people and environment
67,Google,I am only giving this review because its mandatory to give a review just to get into this site. did not like it at all,2022-06-17,5.0,Chief Executive Officer,"very good company 
helps me a lot in my daily life",a little skeptical if all our massive amount of data is protected.
68,Google,awsome,2022-06-17,5.0,Software Engineer,"best food
best office
best view from top of the office","no cons
dont make any cons if you cant make it"
69,Google,Best workplace,2022-06-17,5.0,Anonymous Employee,Good environment and great people,There were no cons at the job
70,Google,Good,2022-06-17,3.0,Administrative Assistant,It was good a lot,It was bad not a lot
71,Google,Deez,2022-06-16,1.0,Deez Nuts Coordinator,Negative are the wave lol,Cons to be honest are
72,Google,Bad,2022-06-16,1.0,Software Engineer,Very high pay and nice offices,Very bad people and dumb management
73,Google,Overall positive,2022-06-16,5.0,Frontend Engineer,The salary is good. You have advancement opportunities.,Cog in the machine and too corporate
74,Google,Best Experience,2022-06-16,5.0,Data Scientist,Google has really good perks.,They are a little anti-black.
75,Google,Marketing,2022-06-16,5.0,Marketing Director,Great amazing good spectacular ok,no cons at all you know
76,Google,Finance,2022-06-16,5.0,Finance Manager,Best place to work is google,I don’t see any down side
77,Google,my experience,2022-06-16,5.0,Assistant Project Manager,freedom to be creative and approach the company with new ideas,none that i can really think of
78,Google,Loved my internship,2022-06-16,5.0,Internship,Can't be happier working at google,I don't think there are any
79,Google,Golden Hand Cuffs,2022-06-16,3.0,Sr. Account Manager,"Great compensation and benefits

Market leadership and best in class products","Cut throat culture

Terrible people managers"
80,Google,Very good,2022-06-16,5.0,Software Engineer,Decent and i love working there,eh a lot of work to do
81,Google,"Good pay, bad teams",2022-06-16,3.0,Datacenter Technician Lead,"Meals, stock, new technologies, on-site gym","DEI initiatives allow for a toxic culture of harrasment and targeting, you either drink the kool-aid and play the game or you WILL be targeted. I'm not sure why politics (identity and otherwise) need to be a part of a professional atomosphere, but these companies believe it needs to be. It tends to create rather hostile and toxic environments for those who just want to come in and get things done and not speak about personal things."
82,Google,Great Company,2022-06-16,5.0,Marketing Assistant,Free food and great environment,No bad things to say
83,Google,Customer Support,2022-06-16,5.0,Customer Support Associate,It is very well company,"No need more, they are perfect."
84,Google,Na,2022-06-16,5.0,Creative,Good culture and benefits for everyone,Progression tied closely to tenure
85,Google,Great company to work for,2022-06-16,4.0,Sales,Perks Food Gym Pool Health insurrance,"Large company
A lot of people are at your level, difficult to stand out"
86,Google,Fun and inclusive,2022-06-16,5.0,Finance Analyst,lots of perks - great diverse workforce,the environment can be overly competitive
87,Google,AL,2022-06-16,5.0,Analyst,"Good,very good, perfect , work life balance","NA, no cons, no cons in Google, thanks"
88,Google,Loved my experience there!,2022-06-16,5.0,Anonymous Employee,"- Company culture 
- Psychological safety in my team 
- Supportive manager
- Very good package with benefits (food, gym, healthcare, pension plan,..)",- Slower career growth (although expected in a mature company like this)
89,Google,Good Place to Work,2022-06-16,5.0,Software Engienner,"Beautiful view, wonderful teams, promising company","Not motivated for innovation, a place for retirement."
90,Google,Good,2022-06-15,5.0,Software Engineer,Great environment to work in,Not much in terms of exploring
91,Google,Great,2022-06-15,5.0,Analyst,Good benefits and awesome atmosphere,Long hours and very competitive
92,Google,good,2022-06-15,4.0,Cleaner,high benefit and best for individuals,"nothing , it is the best company"
93,Google,Good Job,2022-06-15,3.0,Software Engineer,they give great money and benefits,you need to know what you are doing or else you won't do well
94,Google,WLB very good,2022-06-15,5.0,Software Engineer,"good WLB
good pay
good place to learn new things",less chance to make big changes
95,Google,great company,2022-06-15,5.0,Software Development Engineer (SDE),"money, wlb, great colleagues, free food",nothing very special to tell
96,Google,Long Hours,2022-06-15,4.0,Data Scientist,"Work was interesting, surrounded by smart people.","Long hours, everyone only talks about work."
97,Google,Well worth it,2022-06-15,5.0,Fundraiser,"Well worth the pay
Awesome experience","Bad management 
Work/ life ratio"
98,Google,Awesome,2022-06-15,5.0,Outside Sales Representative,Awesome place to work but hard work,Not really any to be honest
99,Google,ok,2022-06-15,5.0,Anonymous Employee,great benefits and flexible time off,competitive nature of employees gets stressful
100,Google,Great company,2022-06-15,5.0,Senior Software Engineer,"Culture is great, free food, and massages available on campus.",Not much impact since it's a rather big company.
101,Google,Great employer,2022-06-15,5.0,Project Manager,"Free lunches, great campus, nice team",Everything was great for me
102,Google,Strong team,2022-06-15,5.0,Marketing,It's great working with other A-Players,Politics can be hard to navigate around
103,Google,become a software engineer in Google,2022-06-15,4.0,,get more money in India,live alone and trilling in America
104,Google,Good,2022-06-15,5.0,Operational Director,Overall good experience good benefits,Good benefits no cons in general
105,Google,is a very good company  and I really want to work with hem,2022-06-15,5.0,Designer,this company is very  make hard worked and the are get chance for people to work with hem,"I hope it make more chase for people and make the weep essay to register 
so it can do  butter and without mistake ."
106,Google,Amazing place to work,2022-06-15,5.0,Anonymous Employee,"Pay, bens, culture, office environment, amazing people to work with",have not found any so far
107,Google,Benefits,2022-06-15,5.0,Anonymous Employee,Good benefits with many opps.,Work life balance too important.
108,Google,Product Director,2022-06-15,5.0,Product Manager,"Nice welfare, can work remote",non It's a perfect workplace.
109,Google,Great work life balance,2022-06-14,5.0,Financial Analyst,Great work place with plenty of perks,"Difficult interview process, as expected."
110,Google,Good at the start of Career,2022-06-14,5.0,Software Engineer,Lots of resources to learn,It's a large company so there's that.
111,Google,Bad paying job,2022-06-14,1.0,Anonymous Employee,None for this low paying job,Has no pros at all
112,Google,"Google just a name , worst then any company",2022-06-14,1.0,Portuguese Language Specialist,"Google is only name , work environment is very poor, zero management, food provided is worst, cab are not cleaned. They opened without covid security. it's only name, think before working, money can't buy happiness. Thanks","COVID protocols are not there, they have there own rule. employees is not respected, employees are rude as well."
113,Google,good,2022-06-14,5.0,Software Engineer,i really like it there,too many engineer in there
114,Google,No Review,2022-06-14,4.0,Software Engineer,"Money, perks, stress-free , collaboration, probably the company that will invent AGI and make all other companies obsolete in the next 50 years.","Work, work, work, work, work"
115,Google,Good company,2022-06-14,5.0,Account Manager,"Great team environment, lots of smart people to bounce ideas off of.",Do your job properly and you will not face cons
116,Google,The Best Culture & Outstanding Compensation,2022-06-14,5.0,Account Strategist,"Google is very generous with the total compensation (TC), which is composed of:

1.) Highly competitive base salary depending on your ""Level."" 
2.) Annual bonus (40% of base) 
3.) Equity (front-loaded 33%/33%/22%/12%)
4.) Sign-on bonus
5.) Relocation package

Cool perks: Googleplex gym, free food (3 meals a day + snacks + drinks), 50% 401k matching up to $19,500, hybrid work model (MF at home, TWTH in office), PTO, education reimbursement, internet & phone reimbursement, massage chairs & nap pods, cool office spaces with different themed rooms (Harry Potter, etc.), bikes and scooters to get around campus 

Everyone at Google is intelligent, helpful, and friendly. The best part is diversity and inclusion. I've never felt safer being different, sharing unique ideas, and being myself at any other organization. 

The leaders and my peers constantly challenge me to grow in more ways than I can imagine. There are different programs for mentorship, which helped me discover my career path. I feel supported here, and the kindness of my team is genuine, and I feel like everyone wants to help each other.","It's a big tech company, so it takes more time to make an impact vs. a tech start-up. There are politics and nuances to getting promoted, but that's a given with any big corporation."
117,Google,Google Review,2022-06-14,3.0,Software Engineer,"Good salary and benefits, work contributes to helping people",sexual harassment is a problem at Google
118,Google,Great place to work,2022-06-14,5.0,Senior Swe,"Great WLB, perks, comp, and more",Switching teams as a senior can be difficult
119,Google,Not bad,2022-06-14,3.0,Social Media Specialist,"Good team, good specialist and active heads.","Cheap company, many mistakes there is."
120,Google,Wonderful company,2022-06-14,5.0,Software Tester,Good culture to work in,Need to go through alot of training
121,Google,.,2022-06-14,5.0,SWE Intern,The people and the inclusive work culture,"The multi-national vibe, too corporate"
122,Google,Good money,2022-06-14,4.0,Anonymous Employee,"Very uplifting team, general niceness",Very high expectation of work
123,Google,Very Good,2022-06-14,4.0,Software Engineer,"Nice work culture
Nice people
Nice Salary",Not any big hindrances that I can share
124,Google,Politics,2022-06-14,3.0,Anonymous Employee,Free food and events are nice,Company corporate culture is fake and will drain you
125,Google,Reveiw,2022-06-14,5.0,Fraud Investigator,"Keep u the good work,","I love this job For Real,"
126,Google,OK,2022-06-14,5.0,Software Engineer,It seems OK but not exceeding expectations.,Too much work to do.
127,Google,Good,2022-06-14,4.0,Anonymous Employee,Good experience have to work hard,Thought job hard to move up
128,Google,Great company,2022-06-14,4.0,Software Developer,Great company with huge benefits,Some long time work hours
129,Google,Intern in G,2022-06-14,4.0,Software Engineer,"Good culture, wlb, and good foods.","High pressure, you need to plan yourself well."
130,Google,Amazing Company,2022-06-14,5.0,Software Engineer,Great work-life balance and amazing people,Slow promotion and less impactful work
131,Google,Good work,2022-06-13,5.0,Software Engineer (Swe II),"Great work, Good work-life balance","Less competitive compensation, slow pace"
132,Google,Photographer for google,2022-06-13,5.0,Freelance Photographer,It’s google come on bruh,None I mean it dude
133,Google,Great Place to work,2022-06-13,1.0,Analyst,Pay and benefits throughout company,the company culture toward employees
134,Google,Great place to work!,2022-06-13,5.0,Project Manager,"wage, WLB, Career develment are super great","Harsh, harsh, harsh...
Super smart people"
135,Google,good,2022-06-13,4.0,PHP Developer,I think its good i like it,no have any bad things
136,Google,Review,2022-06-13,5.0,Anonymous Employee,Lots of amenities. Not too stressful,Easy to get complacent here
137,Google,Awesome place to work,2022-06-13,5.0,Data Scientist,"Benefits, people, salary, challenging problems",There are no downsides when you work for google
138,Google,YMMV,2022-06-13,4.0,Analyst,"Excellent pay, benefits, peers are brilliant, great learning opportunities","Your experience will depend on your manager. One re-org can change everything.

This isn't the same place as Google of 2006. Gourmet meals were replaced with good but not great cafeteria meals, the MKs are constantly being downgraded, etc."
139,Google,Great Place,2022-06-13,5.0,Data Scientist,"- Smart People
- Great Benefits
- Good Management","- Little oversight 
- competitive"
140,Google,perfect for lib tech nerds,2022-06-13,5.0,Programmer Analyst,love the free food and time off,horrible schedule and upper management
141,Google,Great company,2022-06-13,5.0,Quality Analyst,Very good company to work for and a lot of benefits working here,"difficult to move up because of competition
company is too large and too difficult to make large impacts"
142,Google,Perfect compagny,2022-06-13,5.0,Software Engineer,"Tasks, salary, benefits, free food.","Nothing to say here, no need for 5 words."
143,Google,Amazing place to work,2022-06-13,5.0,Software Engineer,"High salary
Good work life balance","Competitive environment
Pay package vary a lot"
144,Google,amazing place,2022-06-13,4.0,Programmer,google is just as amazing as youd think,there are literally no cons
145,Google,Fantastic,2022-06-13,5.0,Sales Associate,Really enjoyed my time here,Nothing to add in here
146,Google,Good perks; profit hungry,2022-06-13,4.0,Web Solutions Engineer,"Google is still a great employer with lots of perks, a good salary, and a friendly, collaborative culture.",Google has grown too big and now focuses solely on increasing profit at the expense of society at large. Few people I worked with were passionate about their work or seemed happy.
147,Google,great company,2022-06-13,5.0,Anonymous Employee,"modern environment, friendly, clean, fun",there have been no cons for this particular job
148,Google,Great,2022-06-13,5.0,Product Manager,"Good companies, perks and promotion",nothing much really that i can say
149,Google,Large sales force with deep customer relationships; many conflicting priorities,2022-06-13,3.0,Head of Sales,"Excellent reach into advertising industry (agencies & brands)
Great rewards and benefits","Many conflicting product priorities make it hard to sell at times
Political"
150,Google,Good,2022-06-13,5.0,Technical Support Engineer,Good to work on google,Have to work really hard
151,Google,Good,2022-06-13,3.0,Software Development Engineer,"1.Good working 
2.flexible time
3.nice environment","1.no payscale
2.no management
3. no cab facility"
152,Google,Great environment,2022-06-12,5.0,Senior Product Manager,"pay, flexibility, and perks are great",competition is high and learning must be self driven!
153,Google,great company,2022-06-12,5.0,Senior Director Engineering,"thoughtful leadership, smart coworkers, great pay, amazing benefits, least top down culture in tech","huge company, you'll always be a number"
154,Google,good wlb,2022-06-12,4.0,Senior SDE,work solid eat average life good,salary lowball not easy to pomoe
155,Google,Great team,2022-06-12,5.0,Hardware Intern,I enjoyed working at the google deeply. Great pay and lots of fun/,We had no bathroom breaks.
156,Google,Great company!,2022-06-12,5.0,Anonymous Employee,Great people and great opportunities.,Can’t think of any at the moment!
157,Google,Good place to work,2022-06-12,5.0,Internship,Knew how to work there,No cons in google work
158,Google,Good,2022-06-12,5.0,Anonymous Employee,Good review working here at,Search the internet for it
159,Google,Good,2022-06-12,4.0,Sales Executive,Good for learning and beginners,None so far it is the best
160,Google,Bahnifuifbio32bfo,2022-06-12,4.0,Programmer Analyst,It was good working at Google,Stress is more at many times
161,Google,Good,2022-06-12,5.0,Android Developer,"Good, good ,good , good ,good","No, no no no, no no no"
162,Google,Overall great company,2022-06-11,5.0,Software Engineer,"Culture
Benefits & perks
Tools & Infrastructure",Work life balance can be challenging in some teams.
163,Google,Very good,2022-06-11,5.0,Software Testing Engineer,its the best that' why,there is nothing like downsides
164,Google,SWE at Google,2022-06-11,5.0,Google SWE,"WLB, Free food, Vacation, and TC",High expectations and work load
165,Google,Good,2022-06-11,5.0,Software Engineer,Good company to work at,Not bad company to work at
166,Google,Software Engineer,2022-06-11,4.0,Software Engineer,Good services and facilities and people,Nothing really bad that I have disliked
167,Google,Good experience,2022-06-11,5.0,Marketing Manager,"Flexible working schedule, lot of support",can’t think of any thing
168,Google,It was fun,2022-06-11,5.0,Business Development Representative (BDR),the pay was good for real,the hours were long sometimes
169,Google,Great company,2022-06-11,5.0,Program Manager,Great atmosphere to work with,Too much workload at the company
170,Google,google,2022-06-11,3.0,Environ-Civil Rngineering,"communication, people management, talking and review","people, people, management, work experience"
171,Google,working at Vtri,2022-06-11,5.0,Anonymous Employee,Boss is amazing and very fun to work for.,Nothing I can think of.
172,Google,Great place to work,2022-06-11,5.0,Senior TPM,"Amazing tech, nice people, learning a lot","Yearly stock bonuses low, 4 year cliff after signing bonuses"
173,Google,"Great job, but too much red tape recently",2022-06-11,5.0,Strategic Partner Development Manager,"Perks, office, colleagues are amazing",Execution is getting more difficult because the red tape and unengaged management
174,Google,Great Company,2022-06-11,5.0,Technical Recruiter,perks and benefits are great,job roles becoming increasing stressful
175,Google,review,2022-06-11,5.0,Sales Associate,Lovely place to work in.,Long hours and over time.
176,Google,Program Management at Global Customer Experience,2022-06-11,5.0,Program Manager,"Flexible and low workload
Good team spirit","Can be boring 
Difficult to see the impact
Lots of political decision making"
177,Google,Excellent experience and benefits,2022-06-11,5.0,Sales Associate,"Teambuilding events, great leadership and mentorship",could be better employment benefits
178,Google,Great,2022-06-11,5.0,Technical Recruiter,Great Job I love this company,Not alot of cons for this job
179,Google,Great,2022-06-10,5.0,Account Strategist,"No1 platform company
Global company
Only ads","Too big 
Too divided
Already no1"
180,Google,great,2022-06-10,5.0,Anonymous Employee,they are very innovative. Great place to work.,no open door policy sucks
181,Google,Administrator Review,2022-06-10,5.0,Senior Business Administrator,Friendly staff with good benefits and work rooms,Huge organization so it felt very cold hearted
182,Google,Very mixed experience,2022-06-10,5.0,Software Engineer,"The product my team is building is very important to Google. I am very happy to work in this team with my smart and excellent peers.
If you are a new grad or need to spend time taking care of your family, Google is an excellent company in terms of WLB, cutting edge technology. If you have something you truly passionate about, go for it! Do not waste your valuable time for the working experiethe in a big name.","But Google moves very slow, all the things are about reliability and stableness, which is very important though. I haven't seen exciting project for years.

The food is not good anymore. Allhands have been more and more boring. I don't buy the story the executives depicted. I doubt they believe in what they pitched."
183,Google,not bad,2022-06-10,3.0,Anonymous Employee,"flexible, networking, fewer hours, great office","much work, not so good location,"
184,Google,Gold standard for software engineers,2022-06-10,5.0,Software Engineer,"Amazing culture, really smart people. All the stuff you expect from Google","The company is massive, so you can feel like a small part of a big machine at times, but Google does a good job limiting this as much as possible."
185,Google,Great,2022-06-10,3.0,Anonymous Employee,Good collaboraiton and creation thanks,no work life balance at work
186,Google,good,2022-06-10,1.0,Senior Manager,A big pool of talents,Pool of talent is too big
187,Google,Review,2022-06-10,5.0,Software Development Engineer III,Very good work life balanced culture,Till now no cons I found there
188,Google,Awesome company to PM at!,2022-06-10,5.0,Product Manager,You get to work with a lot of really smart people.,A lot of products get canned.
189,Google,Great,2022-06-10,5.0,Data Analyst,outstanding working place and salary,"no cons, overall its great"
190,Google,Good Benefits,2022-06-10,5.0,Software Engineer,"At face value my salary is probably a little low but there are a lot of random ways you can get paid here. Rental car discounts, free food, etc. I'm pretty happy about the all-in number. Coworkers are very smart (probably a little too smart in that I look less good in comparison). The approach to engineering is very positive.",The infrastructure is largely custom and it is not good (for front-end). There's no good reason why Google uses all these random front-end frameworks.
191,Google,Great Work,2022-06-10,5.0,Marketing Manager,Great resources for employees at the office,A lot of hierarchy and can feel slow moving
192,Google,Great benefits,2022-06-10,5.0,Product Manager,Google is known for its benefits,Rough place to work as a woman in a technical role
193,Google,Alyve health,2022-06-10,5.0,Front Developer (React),"Good startup
using react and php",process is long for development
194,Google,Good company,2022-06-10,5.0,Software Developer,"Work culture is good.
Work life balance",I cant think of any cons
195,Google,Google,2022-06-09,4.0,Assistant Systems Engineer,"Good pay, good projects, good peers","Rapid growth, opaque salary structure"
196,Google,Awesome,2022-06-09,5.0,Software Engineer,Fantastic amazing awesome superb great,Bad Poor Not good disappointing
197,Google,Good,2022-06-09,5.0,Software Engineer,It has good work culture,No cons as of now
198,Google,Goole writer review,2022-06-09,5.0,Content Writer,Good job .. was paid on time and a good environment,Low staff so you had alot of work to do
199,Google,good,2022-06-09,5.0,Intern,great environment and god people,lots of hours to work
200,Google,BEST in the world,2022-06-09,5.0,Anonymous Employee,Extremely professional and best in the world,Too much load of work for the newbies
201,Google,"It's Google, Come On",2022-06-09,5.0,Software Engineer,"It's Google, Come On, You Work For Google For Christ's Sake","You can't also work at another company while also working at Google, limiting your bragging options."
202,Google,Review,2022-06-09,5.0,Software Developer,This is a Great Company,Nothing bad in here at all !!
203,Google,property management,2022-06-09,5.0,Property Manager,We are a small company in washington D.C managing single and multiple family homes.,Small operation that only have few properties to manage.
204,Google,Working at Google lives up to every expectation!,2022-06-09,5.0,Account Strategist,"Generous comp 
Incredible perks
Inclusive workplace + psychological safety
Supportive management
Everyone has a growth mindset + is incredibly smart and kind
Fun and challenging work",YoY growth targets are really aggressive and the team that sets them doesn't always get it right
205,Google,Research recruiter,2022-06-09,5.0,Coordinator,Great work time with great coworkers,Big company trying to make my job non remote for some reason
206,Google,Great Company and Team,2022-06-09,5.0,Anonymous Employee,Company is a collaborative group.,Continue to grow at a faster rate.
207,Google,good,2022-06-09,5.0,Anonymous Employee,good salary and work-life balance,a lot new things to learn
208,Google,Best company,2022-06-09,5.0,Project Manager,Best workplace to grow and learn,Barrier to entry too high
209,Google,"Great team, horrible management",2022-06-09,3.0,Policy Specialist,Almost every IC on LIS is wonderful to work with,"LIS management is absolutely awful, and this is the reason why the team has such bad retention."
210,Google,Good plave,2022-06-09,5.0,Dev Ops,Fun work and lunch provided,Salaries stall at certain levels which could be off putting
211,Google,happy,2022-06-09,5.0,Marketing,great working place for everyone,not that great in life
