,company,headline,date,overall_rating,author_position,pros,cons
0,Coupang,good company,2022-04-06,4.0,Business Analyst,very potential company with good compensation package,too much high goal setting
1,Coupang,Data driven company but not awesome management,2022-04-06,2.0,Technical Recruiter,"data driven, awesome employees, RSU","low base, not much perks, not sharing decision making process with employees"
2,Coupang,"Growing Rapidly, a Lot of works",2022-04-06,3.0,Sr. Front End Developer,Growing Rapidly. Great opportunity to experience active and agile business,Too much work. the system and processes are unorganized
3,Coupang,staff engineer,2022-04-03,4.0,Level 6,"Good salary, home office, smart colleages",unlimited tasks which helps to develop my limitation...
4,Coupang,"Growing fast, helping individuals grow, but not much welfare.",2022-04-02,4.0,Specialist,You can experience a variety of tasks.,You can work overtime a lot.
5,Coupang,great workplace for career jump,2022-03-30,4.0,Product Manager,"smart colleagues, great place for product managers to drive OKRs","heavy workloads, inefficiency due to different languages"
6,Coupang,Fast moving but efficient?,2022-03-26,3.0,Process Innovation Manager,Can work with some smart people that know what they are doing,A lot of the co workers who have stayed in the company a long times standards are questionable
7,Coupang,Pretty good so far,2022-03-24,5.0,Anonymous Employee,"-Resources of a big company.
-If you really want, you can get to know people from other teams.
-People mostly respect what you do on all different levels.
-Somewhere between an American and Korean company.
-Higher ups tend to be foreigners and speak English.
-Onboarding is really smooth and the part that is most organized.
-Really emphasize everyone's importance via webinars.
-Due to the covid surge, it's work from home 90% of the time which is difficult to see in Korean society, but a huge plus.
-Invests in translators for every meeting which was different and useful.","-Sometimes feels like a smaller startup.
-Still quite disorganized and doesn't have a strong system in the main headquarters.
-About 90% of the company still speaks Korean and expects you to also speak it professionally. If you work with english-speakers though, it won't be as big of an issue.
-Doesn't have much of a process yet. Everyone is still figuring it out which can end up in tension sometimes.
-Things can move incredibly fast if a sudden project is prioritized but it's usually without any warning.
-The work can get mundane, although if you make friends with the right people the type of work you do can quickly change - the opportunity is up to you.
-Interview process took a whole month and was a full 5-step process."
8,Coupang,Good growth,2022-03-23,4.0,Finance,"full autonomy
get to really learn the business in and out
flexible working arrangement","not many processes set up
hard to manuveour around different system and finding the right person to speak to"
9,Coupang,Good company,2022-03-23,5.0,Principal TPM,Good company with good benefits,Bad place - seoul. Covid affected my experience
10,Coupang,High paying,2022-03-22,4.0,Night Shift Worker,High paying and high benefits,"tiresome, during, night work, long"
11,Coupang,Coupang,2022-03-22,3.0,Program Manager,over 90% working from home,no longer having startup spirit.
12,Coupang,Dont come here,2022-03-21,2.0,Warehouse Worker,They serve high quality lunch,Everything else minute pay for tedious work and so called managers are not kind
13,Coupang,Result oriented and passionate,2022-03-20,4.0,Account Executive,Work and life balance is good.,"Because AEs meet the sellers, Consumer oriented policy and systems is so stressful to AEs."
14,Coupang,Good for a part time job,2022-03-14,2.0,Porter,It's great for college students who need quick and simple work.,The work can become intensive and may requires nightshifts.
15,Coupang,Loading and Unloading,2022-03-10,4.0,Loading and Unloading,They treat me better than other companies.,"When I was working during the work time, cannot connect with other people"
16,Coupang,Data-based decision making.,2022-03-02,4.0,Business Analyst,"It was good to learn the overall business of the e-commerce industry.
They make data-based decisions and many employees have a high understanding of the data, so they make data-based decisions.","There are many times when there is a sudden rush of work.
Work coordination is needed.
Company Benefits is insufficient compared to other companies."
17,Coupang,Good colleagues,2022-02-26,5.0,User Experience Designer,"Fast company
Learning from great team member","No work-life balance
Have to know well Korean"
18,Coupang,Not bad so far,2022-02-26,3.0,Principal Compensation Program Manager,"Good salary , Nice culture, talented co-workers","No system, centralized decision making"
19,Coupang,Do many data things,2022-02-20,4.0,Senior Business Analyst,Can learn many things because there are new things everyday,Some teams may have heavy workloads
20,Coupang,So different depending on teams,2022-02-18,3.0,Interpreter/Translator,The company has pragmatic approach and fast paced. The org culture can vary depending on which team and team leader you meet.,If your team leader sucks it can make your life really hard
21,Coupang,American company based in Korea,2022-02-18,5.0,Anonymous Employee,"Company culture is probably the most US-like within Korea, lots foreigners, way of work is strongly influenced by ex-Silicon Valley talent. This contributes to easier cross-border career jump, which is quite difficult for local company talents.","Not a start up anymore, has a lot of processes and inefficiencies that are inevitable in large corporations."
22,Coupang,After one year at Coupang,2022-02-15,5.0,Director,"- I like the people I work with
- Management is open to employee suggestions
- Great culture of ""Do the right thing""
- Competitive salary
- I can work independently and put my mark on my team
- Working from home is a choice",- Evaluation system of employees can be improved. I do not like the bell curve approach where you force rank your employees like how the GE company did it. I do not think it is great for employee moral.
23,Coupang,Good environment to develop my self,2022-02-10,4.0,Cyber Security Engineer,"Global E-commerce Corp.
Can learn Cloud Infra",Weak work process and fast speed
24,Coupang,Great place to work,2022-02-09,5.0,Senior Manager,great work & life balance,"not many opportunities to grow
relatively low compensation"
25,Coupang,Good to learn and burn out,2022-02-08,3.0,Senior Business Analyst,Good to learn something new and exciting,However people cannot take a ride all the time
26,Coupang,Worst tech job I ever had,2022-02-08,1.0,Anonymous Employee,"Decent paycheck. 

Company is moving very quickly with high growth","I work 14 hours per day minimum. You are expected to work both US and Korean hours

Top-down corporate culture - expect diktats from above 

Extremely poor planning 

Don't expect to be promoted, even if your results are exceptional

Local leadership seems to be hiring only engineers of Chinese origins. I had engineers call that racism and leaving because of it"
27,Coupang,Good to work,2022-02-07,3.0,Product Designer,"A lot of chances
A lot of good coworkers","A lot of cherry pickers
A lot of lags"
28,Coupang,Good to growing,2022-02-03,4.0,Senior User Experience Researcher,"A lot of chance that you should leads
Different kinds of work scope
Growing your excellence","Poor welfare and bonuses, salary"
29,Coupang,Bad Manager & No Professional Growth,2022-02-03,3.0,Anonymous Employee,"-Compensation is good
-People are personable
-Work/life balance is decent","-Terrible manager
-8+ people on my team quit before I did
-No Career path or professional growth
-No ERGs
-Manual Processes w/ no interest in making improvements"
30,Coupang,Nice people to work with,2022-01-31,5.0,Software Engineer,Nice people to work with,have meetings at night sometimes
31,Coupang,Good to learn a lot in short time,2022-01-31,2.0,Security Officer,Fast. Laern a lot of modern tech,Lack of process and standardization
32,Coupang,No structure. No strategy. Incompetent leader.,2022-01-30,1.0,Brand Marketing,Explosive growth. Thats all seriously.,No strategy. No structure. No HR. No leadership. You are just a piece of puzzle that gets constantly grinded up.
33,Coupang,Review,2022-01-25,4.0,Manager,"No politics here, and all employees focus on work.","System, Tools are not well built yet."
34,Coupang,Great place for work and life balance,2022-01-23,3.0,Senior Manager,I like the workload and vacation that I can use,Political organization. Don't have respect for leadership team.
35,Coupang,A good e-commerce company,2022-01-20,4.0,Anonymous Employee,Work life balance. Not 996,The technology is not advanced enough
36,Coupang,Good place for juniors at the early stage of their careers,2022-01-19,4.0,Software Engineer,"Full of opportunities to develop your technical skills by working on challenging problems. Kind, helpful, and talented colleagues.",Typical growing pain for companies at the stage.
37,Coupang,Great to work with data,2022-01-19,5.0,Growth Manager,discuss with data some issue,"not bad but, it's hard to learn new martech"
38,Coupang,Tired,2022-01-18,2.0,Picking And Packing,"Managers are so rude, they consider workers as an disposable and replaceable thing.",The wage is better than other works
39,Coupang,Global vision and global culture,2022-01-17,4.0,Business Analyst,"- mainly provide services to South Koreans but global mindset and employees from all over the world
 - do what you want
 - a fast-paced environment so that able to learn and develop one's career","- poor welfare
 - not that many cons..."
40,Coupang,nice,2022-01-16,4.0,Senior Android Developer,"nice company, WLB, WFH, nice office",some leaders are weak.no technical accumulation
41,Coupang,Coupang,2022-01-15,3.0,Manager,Remote work and not as a big hierarchy organization,Good as a startup culture but no proper guidance
42,Coupang,A good bridge to FAANG,2022-01-15,4.0,Software Engineer,- Good salary compared to other companies in Korea,"- Complex in-house development system
- Bad work-life balance"
43,Coupang,Positive Future,2022-01-11,4.0,Anonymous Employee,Great market share and future potential,"You will work hard, not a place for slackers"
44,Coupang,Good,2022-01-11,4.0,Senior Product Owner,"Good co-worker
Work-life balance
working at home","Too much works
too big company
hard to find team"
45,Coupang,Good work life balance,2021-12-21,4.0,Anonymous Employee,"Work life balance 
Reasonable compensation
Remote working policy",Priorities and project scopes changing very often
46,Coupang,"Overall great,  diversified culture may not be good for everyone",2021-12-19,4.0,Senior Director,"1. Fast growing multiple times in scale since I joined, market share keeps increasing in Korea; 

2. Surrounded by enthusiastic employees who want to grow and make a success;
 
3. Flexible working time and work from home policy is super welcomed under Covid situation;

4. Stock compensation is rewarding if you join this company early enough and still stay or exercised your stock options after quitting; 

5. A lot of potentials to grow in long-term (if the business globalization strategy works), which in turn means more job opportunities globally to open for current employees who seek for a different culture and geography to transfer.

6. Never lack of problems to solve, only lacking of time to solve them all at once, hence requiring a good sense of ruthless prioritization;","1. Common sense is a rare thing in this company, followers are way more than creators and builders; 

2. Attrition of matured and tenured employees are a big concern at least in my area of work, hiring bar of new joiners is not as always high especially when the hiring manager is a new joiner his/herself;

3. Lack of attention on employees' career development almost at all levels from packers inside fulfillment center to vice president level, the company is expecting more for new hires to deliver results than coaching and developing employees' long-term skillsets; 

4. Rating of people related function is from the range of below average to non-existence in aspects of hiring and recruiting, performance evaluation, coach and development, as hire manager it is difficult to get adequate number of qualified candidates, some organization manager may arbitrarily decide all levels' employees performance without consulting other managers' opinion, training is very limited to compliance related but very few relevant to what you need to perform your tasks better."
47,Coupang,"Inexperienced, unqualified, unprofessional managers",2021-12-13,2.0,Anonymous Employee,Work from home policy during COVID,"Stock price
Inexperienced and unprofessional management
Unclear career path (except for those who are in the ""inner circle"")"
48,Coupang,Coupang work culture,2021-12-11,3.0,Principal Software Engineer,Great leadership under Kim. Great competition with Amazon with great execution by Coupang team. As a company I believe it will succeed in long run.,"I worked in Mountain View, USA center for two years. Peoples in Growth Engineering group is primary from acquisition. Managers are not much experienced, often political, mostly guided by self protection on job leaving no room for newcomers from innovation. Talent wise, some very talented engineers are there and some are not. It is a mix kind of work culture depends on which group or manager one gets to work with. Unfortunately, I had to deal with a manager of negative category resulting half of the team left from him."
49,Coupang,One Year Anniversary,2021-12-09,5.0,Anonymous Employee,"Fast-moving, innovative company, where you can think big, learn, and drive your own career.","Coupang is not for everyone as you are required to be strategic, data-focused, and self-driven."
50,Coupang,A lot to learn and achieve,2021-12-05,4.0,Product Owner (PO),You can work with smart and fast teams to achieve something,There is no culture to hold employees together.
