,company,headline,date,overall_rating,author_position,pros,cons
0,Flipkart,Good company to work if you are really have no issues with work lofe,2022-04-10,4.0,Operations Manager,"Very good work culture of the company
Pays well",Forget work life balance trust me you will go home to sleep. No off time to meet friends and family. You get only 10 days holiday in whole year. No national holiday.
1,Flipkart,Good experience,2022-04-09,5.0,MST Technician,good working environment good manager,"there no negative worlds, every thing good."
2,Flipkart,"Since starting at Perficient, I have earned",2022-04-09,5.0,Typist,Pros has an overall rating of 4.2 out of 5.,Insurance will cost more than on the new car
3,Flipkart,Good learning Curve,2022-04-08,5.0,Senior Business Development Manager,"Start up, proactive culture. Positive outlook on growth",Could be stressful at times due to the timings
4,Flipkart,Unprofessional behaviour from management,2022-04-08,2.0,Software Development Engineer,"Flexible work hours and no micromanagement
Teams and managers are understanding and good","No exit interview 
HR not accepting calls
No initiatives from the management on the exit process till the last working day 
No clear communication between HR and employees"
5,Flipkart,Good environment,2022-04-08,5.0,Team Leader,"Stress less, easy to work, learn lot of thinks.",working time is too high .
6,Flipkart,-,2022-04-07,4.0,Senior Associate,Flexibile working hours and no micromanagment,The culture is not as it is on paper. Salary is not line with the knowledge required to perform the tasks.
7,Flipkart,It was an amazing company,2022-04-07,5.0,Customer Service,Flipkart is a great company to work on it,Team is not supportive at all
8,Flipkart,Great company,2022-04-07,5.0,Store Manager,"Flipkart great company in India,",Great hours and great salary
9,Flipkart,Overall a good experience to work with FK,2022-04-07,4.0,,"Job Stability
Learning
Work culture
Work Life Balance
Flexible Job Roles","Monetory Growth
Ratings as per Effort
Partiality on Lingual Basis
Scope of Promotion"
10,Flipkart,Excellent,2022-04-07,5.0,Anonymous Employee,Work life balance is good,Salaries are average but good learning
11,Flipkart,Great Place to Work,2022-04-07,5.0,Anonymous Employee,Super Place to learn and grow.,There is none at the moment.
12,Flipkart,good company,2022-04-06,4.0,Manager,"good
good in salary
best company
best in hr",no cons as of now
13,Flipkart,very good,2022-04-06,5.0,Associate Director,"work life balance  ,pay scale , employee benefits","disruptive style , bureaucracy in some vertical"
14,Flipkart,not so good,2022-04-05,3.0,Software Development Engineer (SDE1),flexible leave in my team,"team members not helpful
manager bias"
15,Flipkart,Great company for learning,2022-04-05,4.0,Manager,"Good problems to solve for, Office & People Culture","Micromanaging & unnecessary RCAs, Long working hours,"
16,Flipkart,want to take up my position high,2022-04-05,4.0,,have growth to ahead at future,"want to growth my future stable 
basically salary issue"
17,Flipkart,Good WLB,2022-04-05,4.0,Anonymous Employee,"- Good WLB
- Good Ownership
- End to end visibility
- Good domain to learn","- Learning with steady pace
- Work from office"
18,Flipkart,Seller Experience,2022-04-05,3.0,Anonymous Employee,Opportunity to learn and grow,Manager not good and work is chaotic
19,Flipkart,Good work culture,2022-04-04,4.0,Software Development Engineer I,Good work culture at flipkart,nothing nothing nothing nothing nothing
20,Flipkart,Review,2022-04-04,4.0,Senior Operation Executive,Infrastructure of the work place is good. Benefits for FK employees are also good.,"Not all employees get same benefits
Growth Totally depends on team and the immediate managers"
21,Flipkart,Good experience,2022-04-03,3.0,Learning And Development Specialist,"Day to day situation 
Salary on time","No work culture
Complete politics
Noone listens"
22,Flipkart,Great experience but no work life balance,2022-04-03,4.0,Senior Manager,"Learning, scale of work, pace of growth","Work life balance, very hierarchical"
23,Flipkart,Not a Great Experience,2022-04-02,3.0,"Associate Director, Analytics",Nothing is great here at Flipkart,Extremely bad working culture and reporting managers
24,Flipkart,Good best better nice extremely good,2022-04-02,5.0,Associate,Very awesome and the hostile work environment,Good best better nice extremely good
25,Flipkart,ANalytics,2022-04-02,4.0,Anonymous Employee,"Great culture,supportive staff
,team builders
,Transparent
,ethical and zero tolerance against wrong practices","slow and time consuming
Operational difficulty high"
26,Flipkart,Flipkart Analytics Consultant,2022-04-01,4.0,Consultant,"Good culture. 
Good learning. 
Good management. 
Great work life balance. 
Good for freshers","Nothing so far.
Management should promote junior employees. 
Go for it. 
No cons"
27,Flipkart,This is not better track to do work in flipkart,2022-04-01,1.0,Team Leader,No I am not sujjest anymore to do work to anyone,This is carrier based job but not comfortable
28,Flipkart,None,2022-04-01,4.0,Lead,great place good employee policies,None as of now great place
29,Flipkart,Good place to work,2022-03-31,4.0,Anonymous Employee,"Flexible work timing,salary on time,good coworkers",Not any as of now
30,Flipkart,Great company,2022-03-31,5.0,Team Leader,Great leader of Walmart smoothly help to lead business,New comers need to learn more
31,Flipkart,working in iqivia as a data analyst,2022-03-31,1.0,Data Analyst,versitile working with great feedback,working for too long hours no fixed timing
32,Flipkart,Nice,2022-03-31,5.0,Assistant Manager,"Nice benefits, work culture Team specific",Work Life Balance isnt there
33,Flipkart,Nice work culture,2022-03-31,5.0,Software Engineer,It was really great working here,Amount of work is sometime little too much
34,Flipkart,Great Place to Work with Young Minds,2022-03-31,5.0,Manager I,One of the best E-Commerce Company where you can see your growth,"It gets hectic at warehouse , difficult to maintain work life balance"
35,Flipkart,Very good to learn,2022-03-31,4.0,Anonymous Employee,"Learning , Growth , Money , Collaborations , Team work","Promotion, Hike , Bonus , Performance Review , SSS"
36,Flipkart,Great learning,2022-03-31,4.0,Senior Human Resources Business Partner,"- learning, exposure to projects, deep partnering, speed of execution","- ambiguity-chaotic/unorganised , leadership decision making and politics"
37,Flipkart,Review for Flipkart Grocery,2022-03-30,4.0,Anonymous Employee,"1. A qualified and experienced top management to learn from.
2. Employee-friendly culture of the organization.
3. Agile and fast-paced environment. Can be a good place to learn if in the right role.","1. Manual processes with no strict adherence to SOPs. Lacks in strong policies made via the management.
2. Unhealthy business practices. Some people work even on the weekends. A lot depends on your manager.
3. KRAs amongst teams are internally conflicting. Provides little room for everyone's improvement."
38,Flipkart,Below Average Workplace,2022-03-30,2.0,Software Development Engineer (SDE1),Company has good amount of challenging projects.,"Company doesn't strive to be a better employer, and takes no steps to improve employer satisfaction."
39,Flipkart,Good Place to work for learning,2022-03-30,5.0,Lead Recruiter,"learning opportunities
opportunities to work on different projects under HR function
IJP movement and encouragement to explore different opportunities.
Worked on some real life problems in Hiring and great place to learn
Stakeholders are really good when it comes to support",I havent come across any cons as such
40,Flipkart,accounts receivable,2022-03-29,5.0,Accounts Executive,good company to work here,night shifts are more felxible
41,Flipkart,No work life balance.,2022-03-29,1.0,Anonymous Employee,Received salary on time is only pro,"1. Pathetic culture
2. Horrible management
3. Demotivate employees.
4. Politics.
Do not stay for more than year. No carrier advancement.
People on third party payroll are treated worst.
Manger's doesn't know how system works.
Unethical practices!!!!"
42,Flipkart,hectic,2022-03-28,3.0,Digital Marketing Manager,"- great brand name
- exposure to latest initiatives","- work-life imbalance
- sacrifice weekends and sales periods are beyond hectic"
43,Flipkart,Good,2022-03-28,5.0,Director,Agile and fast company to work for,Political company to work for
44,Flipkart,Work culture,2022-03-28,5.0,Manager,Work culture is really good,No cons as of now related to it.
45,Flipkart,Good place,2022-03-28,5.0,Product Manager,"Its great, best place to work","Nothing to complain, good place"
46,Flipkart,I am a hard worker,2022-03-28,5.0,,Flipkart is a big company,tat time to time delivery
47,Flipkart,Great company to work,2022-03-27,5.0,Category Manager,"Work culture, benefits, people, platform, exposure",Nothing as such just that it's really difficult to get into Flipkart if from a normal college.
48,Flipkart,Good place to work,2022-03-25,4.0,Associate Consultant,"People, process and great environment",There is no cons at present
49,Flipkart,Great culture bad salary,2022-03-25,3.0,Senior Marketing Manager,Great culture smart peers to learn from and a growing inclusivity,"lowest increments ever and bad work life balance also you almost always end up working on the weekends, teams are under staffed"
50,Flipkart,Great culture bad salary,2022-03-25,3.0,Senior Marketing Manager,Great culture smart peers to learn from and a growing inclusivity,"lowest increments ever and bad work life balance also you almost always end up working on the weekends, teams are under staffed"
51,Flipkart,Good working environment,2022-03-25,3.0,Senior Executive Analyst,Work life balance and employee welfare,Undefined job task and designation
52,Flipkart,Great place to work,2022-03-24,5.0,Manager,"Employee friendly, complete ownership given",Too many Sales events make it difficult to have a schedule in personal life
53,Flipkart,Category manager,2022-03-24,4.0,Category Manager,"Inclusive work environment 
Good learnings","Politics in teams
Too much pressure
No work life balance"
54,Flipkart,Liberal compensation,2022-03-24,4.0,SDE-2,"Liberal compensation, Espos and bonuses",No free perks parties excursion etc
55,Flipkart,Facility and management is good in this office,2022-03-24,5.0,Customer Support Representative,"Flexibility ,Express your opinion ,You get to inspire others","Difficult to scale, If writing does not come naturally, growth may be slower"
56,Flipkart,Operations Team Lead,2022-03-24,4.0,Operations Team Lead,No work pressure in job zite,Not technically updated in many features
57,Flipkart,Getting worse,2022-03-23,3.0,Software Development Engineer (SDE),Some teams have good work life balance,"Fire fighting, oncalls, slow growth, worse salaries"
58,Flipkart,Good learning for infra,2022-03-23,5.0,IT Support Engineer,"Flexible shift time 
Good working env
Good collegues",Cant say about any cons all is good
59,Flipkart,Good,2022-03-23,4.0,Senior Executive Assistant,"Good working, Good leaders, Great place to work","all most all good, need to check & promotion openness"
60,Flipkart,Senior manager,2022-03-23,5.0,Senior Manager,Great place to open up own a business,Growth is slow. Especially monetory growth
61,Flipkart,Great company,2022-03-23,5.0,Assistant Manager,Complete ownership of individual charters,Work life balance is not there
62,Flipkart,Associate at FK,2022-03-23,5.0,Director,Good place to work for,"Nothing applicable, good place to work"
63,Flipkart,About flipkart,2022-03-22,5.0,Product Solution Engineer,Its a very good experience working in flipkart.,No cons as of such
64,Flipkart,Amazing work experience,2022-03-22,3.0,Business Devoloper & Account Manager,Work and personal life balance,"Manager have lack of knowledge, so the management can not provide solution where we need to face client."
65,Flipkart,very high call flow,2022-03-22,3.0,Customer Service Representative,salary on time but not worthy,very high call flow pressure
66,Flipkart,analyst,2022-03-22,4.0,Business Analyst,Good corporate and a good pay,Work culture is not that great
67,Flipkart,Good growth culture,2022-03-22,4.0,Product Solutions Consultant,"Good salary , benefits, leaves, period leave","No work life balance , start up culture is still there"
68,Flipkart,goood,2022-03-21,3.0,Team Lead,the salary is on time,lot of politics in the management
69,Flipkart,Great culture,2022-03-21,4.0,Marketing Manager,"Quick learning
Ownership 
Great pedigree
Opportunities 
Creative approach","Slow growth
None other in particular"
70,Flipkart,good company,2022-03-21,5.0,SRE/DevOps Engineer,"work culture, learning, enthuciastic culture",none cons that i can share
71,Flipkart,Better place for learning,2022-03-21,4.0,Operation Executive,"Great work culture
Lots of things to learn
Cooperative associates 
Flexible working hours
Holiday perks","Work life balace is not that good.
Pay is not that competitive as per the current market.
Minimal employee perks"
72,Flipkart,Company is good... facilities ...but issue with some of the senior managers..,2022-03-20,4.0,Senior Analyst,"Overall company facilities, benifit, brand is good.","Huge work pressure, basically senior managers holding a mentality like, no one should rest a minute while in office...also overtime is very common, nearly everyday.. sometimes till 2-3 am. During sales there will be extra pressure..."
73,Flipkart,Amazing learning but bad work-life balance,2022-03-20,5.0,Software Development Engineer I,"Amazing learning
Great peers
Beautiful office
End to end responsibility","Work life balance
None I can think of"
74,Flipkart,Lead fulfilment and returns manager,2022-03-19,4.0,Anonymous Employee,Good learning and exposure working in the organisation,Can be improved on the diversification of the business
75,Flipkart,Good place to work,2022-03-19,5.0,Anonymous Employee,"large scale
good tech stack
large scale distributed systems","bad upper mgmt
build vs buy is a pain"
76,Flipkart,Operations department is working like hell of your life,2022-03-19,3.0,Department Manager,Timely salary and other benefits.,Ground operations is like hell. No off or leave allowed on Holidays
77,Flipkart,Operations Manager,2022-03-18,3.0,Area Manager,People management is most important skill in this role,No proper planning done by planning team
78,Flipkart,My survey,2022-03-16,5.0,Specialist,Wonderful ppl cnctric company loved it,Salary was less also went through third party
79,Flipkart,Great Place to work,2022-03-16,4.0,Senior Business Development Manager,"People first Organisation
Freedom to be as audacious as you can in your role",Not as such that i can put here
80,Flipkart,"Okayish wlb, bad pay",2022-03-16,3.0,SDE-2,"Okayish wlb, can chill if you want at times","Bad compensation in comparison to peers
Not good technical problems to solve"
81,Flipkart,Scm,2022-03-16,4.0,Executive,job Security for the employees,High pressure for the employees
82,Flipkart,Good,2022-03-15,5.0,Senior Manager,Good work experience can be non structured,None that I know are cons
83,Flipkart,Good,2022-03-15,4.0,Category Manager,"Learning new things 
Nice work culture
Good salary
Increment
Perk","Ijp
Can't change the team
Travel required
2 months notice
Recommend"
84,Flipkart,Help sellers to manage catalogue and sales,2022-03-15,4.0,Senior Business Development Executive,"Best working environment 
Will learn a lot regarding e-commerce account management
Reward and recognition to boost your confidence and moral","No Cons
Only one cone that you have to work really hard for the promotion"
85,Flipkart,NA,2022-03-15,4.0,Quality Lead,Lot of things to learn. Good compensation. Work life balance is good.,No Job training. Rest all is goof
86,Flipkart,Manager,2022-03-15,4.0,Manager,"Good company, employee-friendly policies, one of the best tech companies to work for in India","Too big and diversified for a company of this age.
Not matured, not a start-up - somewhere in the middle."
87,Flipkart,Site Reliability Engineer,2022-03-15,5.0,Site Reliability Engineer,Site Reliability Engineer with 4 years experience,nice to be working with flipkart
88,Flipkart,Flipkart is thinking about our employees. We can make a good future in this.,2022-03-14,4.0,Sr Executive Operations,A good environment for work.,No any cons about this.
89,Flipkart,FC and RC operation,2022-03-14,5.0,FC Lead,Very good environment to learn and work,Less salary strict and poor increment
90,Flipkart,FC and RC operation,2022-03-14,5.0,FC Lead,Very good environment to learn and work,Less salary strict and poor increment
91,Flipkart,Best Indian Tech Firm,2022-03-14,5.0,Lead Business Analyst,High Growth. High Salary. Lots of flexibility. Lots of scopes to learn.,I did not see any cons.
92,Flipkart,Good,2022-03-13,5.0,Java Software Developer,"Great flexibility with time
Good teamwork experience",Giving less options for promotion
93,Flipkart,Warehouse Senior Executive,2022-03-13,5.0,Warehouse Associate,"Warehouse Inbounding , Stock Reconciliation,
Outbound Dispatch, Liquidation","Return Inventory, Inventory Count, Quality Audit"
94,Flipkart,Poor Work Life Balance || Slow growth,2022-03-12,2.0,Software Engineer,"1. You wouldn't get fired
2. Brand name
3. Might get into a good project and team",1. You might get into FSG. Please don't join.
95,Flipkart,Customer service,2022-03-12,5.0,Social Worker,Good behaviour to communicate the customer,Services for return the order is very poor
96,Flipkart,Best E-commerce company to work,2022-03-11,5.0,Senior Executive,One of the best ecommerce to work and great learning,No Career growth for emplopyees
97,Flipkart,The silliest company ever,2022-03-11,1.0,Associate Director,"No attendance
No accountability
Competitive Salaries
Foodcourt
Lots of parties","Horrible colleagues
Stupid HR policies
Loss making company on all fronts
No ethics anywhere in the company"
98,Flipkart,Good Culture,2022-03-11,4.0,Software Development Engineer (SDE),Some genius minds work at Flipkart,I cannot think of a con
99,Flipkart,Quality assurance,2022-03-10,5.0,Quality Assurance Analyst,Good to work with good salary,Work Life balence is not to there
100,Flipkart,Trainee,2022-03-10,5.0,Trainee,Best place to do internship,No cons for an intern
101,Flipkart,Its okay,2022-03-10,3.0,Business Development Manager,salary is a plus point here,work culture is at a low level
102,Flipkart,its a good company,2022-03-09,5.0,Product Manager,everything about it is good,"none , not that i know of."
103,Flipkart,Supply Chain Planning,2022-03-09,3.0,Manager,Good work culture and very supportive,Not good for salary hike
104,Flipkart,Review,2022-03-09,2.0,Manager,Good Work Culture and supportive,Bad Growth and doe not meet salary expectations
105,Flipkart,Avg pay and lot of politics,2022-03-09,1.0,Software Developer,Good work is given for experience,"Pay disparity
Politics
Work life balance is bad"
106,Flipkart,Great place to work,2022-03-09,5.0,Manager,"1. Great work culture
2. Interesting work
3. Freedom to explore ideas
4. Great peers",None that I can think of
107,Flipkart,GOOD,2022-03-09,5.0,H R Talent Acquisition,Their teamwork and supporting staff,nothing at present I enjoying my job
108,Flipkart,"Once a great organisaztion, has fallen prey to incompetent ""money"" leaders",2022-03-09,1.0,SDE-1 Backend Developer,"Good learning curve, and addressing important problems","Can't match market compensation.
Abysmal WLB, 10-12 hours is the norm.
RTO.
Replacing software devs with consultants for KTLO.
Upper management isn't accountable and approachable.
Don't value existing employees.
Increased notice period to 2 months.
Rolling out new features to the whims of product and EMs, without teams having enough bandwidth to address tech debt."
109,Flipkart,Great Place to work,2022-03-09,3.0,SDE-2,"Good Learning curve
Growth wise good company to join","Salary less than market standard.
No Remote work.
Work Life Balance"
110,Flipkart,One of the best workplaces,2022-03-09,5.0,Senior Process Specialist,"Open work culture
Supportive leadership
Great benefits
Flexibility in work place",None that I have seen
111,Flipkart,Great place to work,2022-03-08,4.0,Graphic Designer,Absolutely everything is great to work.,Sometimes work allotted is less.
112,Flipkart,Great place to work,2022-03-08,5.0,Product Solution Engineer II,Good culture and great place to work,Nothing that i can think of
113,Flipkart,MH ops (middle mile),2022-03-08,4.0,Lead Operations,"Good salary
incentive & bonus
Good HR policy","Different zone have different work culture
flexible work hour
limited leaves"
114,Flipkart,A Good Company to Work,2022-03-08,5.0,Graphic Designer,"Good to learn, Acknowledgement from peers, Can explore your creative side",I have nothing in particular
115,Flipkart,Nice,2022-03-08,5.0,Customer Service Executive,Very much helpful staff overall,No I didn't had any issues
116,Flipkart,Team lead SCM,2022-03-08,5.0,Team Lead,"Great work culture, employee centric organization",Could be more transparent with respect to pay slabs
117,Flipkart,Superb,2022-03-07,5.0,Assistant Manager,One of the best companies to work for,NA as of now. So no comments
118,Flipkart,Category manager,2022-03-07,5.0,Assistant Manager,Good place to work. Easy to approach leadership members.,Did not find anything such.
119,Flipkart,Team lead,2022-03-07,5.0,Executive Hub Operations,Good to work with Flipkart,"Feedback 
 not good for Flipkart"
120,Flipkart,Team lead,2022-03-07,5.0,Executive Hub Operations,Good to work with Flipkart,"Feedback 
 not good for Flipkart"
121,Flipkart,Great Place to Work,2022-03-07,5.0,Anonymous Employee,Good work culture. Team Bonding.,Nothing as such as cons...
122,Flipkart,Low on work life balance,2022-03-06,1.0,Senior Designer,"-Work from home
-Helpful colleagues
-ESOPs
-Phone/broadband reimbursement","-No Work-Life Balance
-Work Pressure to get multiple things done in a day is there
-Less time in design thinking and more in execution
-Expected to work 24x7
-No support from managers
-expected to do juniors work , own work and senior managers work at the same time
-meeting taking up most of time yet work is expected to be done by X hours (meeting is considered as a side track for work)
-have to do work of 5 or more people yet no solution
-juniors leaving company in few months and always in pressure to get things done from non experienced folks in the same speed as experienced ones
-There are good projects to be done but get very less time to due to tight deadline hence quality is affected and get the blame too
-Everyday impact should feel like 30 days of work is done
-focus is expected to be in 5+ projects at the same time
-If you have hire more people solution to issues, reply is think of other ways
-Managers shuffle people in team according to their wish. On paper they work with me but relaity is they don't"
123,Flipkart,Awesome work culture,2022-03-05,5.0,Warehouse Manager,"Evening is good, work culture and employees benifit is great","Nothing is cons here ,"
124,Flipkart,Good Company,2022-03-04,4.0,Anonymous Employee,Good Learning environment in organization.,No cons as such in company.
125,Flipkart,Great place to work,2022-03-04,5.0,Total Rewards,"Learning, Compensation and Benefits, Peer Group, Opportunities",Work Life balance is difficult and very rare
126,Flipkart,No,2022-03-04,3.0,MIS Executive,"Good working culture,free food,free transport","Heavy workload,heavy pressure,no work life balance"
127,Flipkart,CT grocery,2022-03-04,5.0,Assistant Manager,"Employee friendly, good HR policies","No personal development,
Some kind/nature of job."
128,Flipkart,Best place to work!,2022-03-03,5.0,Customer Support Specialist,Great culture and helpful management.,No cons according to me.
129,Flipkart,Great company for E-commerce exposure,2022-03-03,4.0,Senior Executive,"Learning and growth 
People management experience","Work life balance
No leave on public holidays"
130,Flipkart,...,2022-03-03,4.0,Associate Director,"Freedom, package, leaves, role changes","Work life balance, heavy work"
131,Flipkart,Excellent company to work for.,2022-03-03,5.0,Associate Director,your work is recognized well. you can take risks & fail.,Nothing noticed till now.. excellent place to be in.
132,Flipkart,Full time,2022-03-03,5.0,Anonymous Employee,"Flexible Startup Good Easy Pay, Nice one","Culture, Pressure, Pay, Salary, Location. Nice one"
133,Flipkart,Great,2022-03-03,4.0,Anonymous Employee,Good work culture and learning.,"Work load, fast paced, very swift."
134,Flipkart,Company Review,2022-03-03,5.0,Hub In Charge,Very good reputed company in country,Delivery hubs infras need to enhance to the employee work mine.
135,Flipkart,Overall good,2022-03-02,5.0,Team Leader,"Good working environment
Supportive management. Good to work",No cons overall good Flipkart
136,Flipkart,good,2022-03-02,5.0,Data Analyst,"exellent work environment 
supportive in colleague",had to work over time sometimes to get the work done
137,Flipkart,Sde-1 | Bangalore,2022-03-02,4.0,SDE 1,"Good learning, Fast paced work",no as such as of now
138,Flipkart,Good perks and benefits,2022-03-02,4.0,Senior Executive,If you are working in hub operation than will get good appraisal and other benefits as per your performance,Slow progress in LH department
139,Flipkart,Great Workplace and a lot of learn,2022-03-02,5.0,Category Manager,"Great Culture 
Fastrack Promotions
Work life Balance",Disparity in salaries at same grade
140,Flipkart,Best company,2022-03-02,5.0,Lead Executive Assistant,Best company to work in India,None that I can think off
141,Flipkart,Good place to work,2022-03-01,5.0,Senior Executive,Good working experience with great mindsets,Shift work culture which gets extended due to load
142,Flipkart,I am a senior executive In flipkart last mile logistics. I am here since 2.9years.And I think it's time to switch.,2022-03-01,3.0,Senior Executive Operations,"Work pressure is less. 
Easily handling operation
Timing is good","Less in growth
Work environment is nit good
Employees satisfaction is not good
Less salary"
143,Flipkart,cons,2022-03-01,5.0,Consultant,very good company for freshers,sarly is good but internal polictics is too much
144,Flipkart,Nice work culture,2022-03-01,5.0,Senior Executive Operations,Nice and good balance very good,Nothingvvbvvv alll good and ok
145,Flipkart,Good company to work,2022-03-01,5.0,Business Analyst,Less work hrs and less work pressure,No cons has been faced till now
146,Flipkart,Good.,2022-02-28,4.0,Software Development Engineer (SDE),Good place to work. Good salary.,Nothing of that sort. overall good.
147,Flipkart,Overall good company to work,2022-02-28,4.0,Business Analyst,Have a great work life balance,The learning curve might be steep
148,Flipkart,Pathetic,2022-02-28,1.0,Key Account Manager,"hardly any, pray for a good boss.","1. no work life balance
2. extremely operational work, you will not be using much of your brain
3. numerous reviews and stand-ups, which adds to the stress and nothing meaningful ever comes out of it"
149,Flipkart,Good Culture,2022-02-27,3.0,Anonymous Employee,Active environment adaptable to changes,Need to adapt faster with growing market
150,Flipkart,Pathetic culture,2022-02-27,2.0,Software Development Engineer III,Benefits and HR policy is as per industry standrad,"1- Too many cons are there
2- Culture is very concerning for future"
151,Flipkart,Category manager,2022-02-27,4.0,Assistant Manager,Flexibility and complete ownership .,Odd working hours . .
152,Flipkart,company review,2022-02-27,4.0,SDE-2 Backend,"Challenging problems.
strong tech
helpful team
nice leaders","nothing as of now, everything good."
153,Flipkart,Excellent,2022-02-27,5.0,Human Resources Analyst,Work environment is too good.,I don't think there are any cons.
154,Flipkart,Good company,2022-02-26,4.0,Senior Executive,"Good company, good growth, amazing people",Not a whole lot of issues
155,Flipkart,good,2022-02-25,4.0,Software Development Engineer (SDE),"work life balance is awesome
good work",none i could think of
156,Flipkart,Amazing work experience in a beautiful atmosphere,2022-02-25,5.0,Team Leader,Enjoying working with skilled mentors,Will be looking to continue
157,Flipkart,Very nice place to work,2022-02-25,5.0,Area Manager,Lots of growth opportunities and skills advancement.,Managing mutliple work activities and timeline
158,Flipkart,Not expect,2022-02-24,1.0,Team Leader,Very bad culture of hub no one,Atmosphere there is very bad no one support
159,Flipkart,Great to start and grow your career with,2022-02-24,4.0,Director,"Salary
Responsibility
Exposure
Team size is great
Growth potential",Internal recognition can be not very objective at times
160,Flipkart,Na,2022-02-23,5.0,Manager I,Very nice company in all aspects simply,No cons have simply you will enjoy
161,Flipkart,Great Workplace,2022-02-23,4.0,Software Development Engineer In Test (SDET) II,excellent learning opportunity with state of the art tech,My team mates lacked emotional intelligence
162,Flipkart,Good Organisation,2022-02-22,3.0,Anonymous Employee,"- Growing organisation
- Worklife balance
- Benefits","- Lack of ownership 
- Politics"
163,Flipkart,Very bad Managers,2022-02-22,2.0,Senior Operations Executive,"Good colleagues
Nothing more than that.","Hectic work...
Hardly slept for 2 hours a day.
Very less salary
Gadha work."
164,Flipkart,Best place to work,2022-02-22,5.0,Anonymous Employee,"Flexible shift
Free snacks
everything is good","Less hike
No promotion
Managers are getting changed frequently"
165,Flipkart,Always fun to learn and work,2022-02-22,5.0,Assistant Manager,Lot to learn and additional benefits,Nil.. Not so much in the company
166,Flipkart,Culture,2022-02-22,5.0,Anonymous Employee,Good culture in the company,"Work life balance, rest everything is good"
167,Flipkart,Software Development Engineer-III Review,2022-02-22,5.0,Software Development Engineer-III,One of the best companies in India to work in,"Limited only to India. 
No external clients."
168,Flipkart,Good,2022-02-21,2.0,Software Development Engineer (SDE),Get to learn a lot,Poor work life balance across the year
169,Flipkart,Very bureacratic,2022-02-21,4.0,Senior Product Manager,Very fast and quick to react,"Too much burecracy
Work life balance will go for a toss
Many adjustment to tech to deliver business for leaders not for customers"
170,Flipkart,Very bureacratic,2022-02-21,4.0,Senior Product Manager,Very fast and quick to react,"Too much burecracy
Work life balance will go for a toss
Many adjustment to tech to deliver business for leaders not for customers"
171,Flipkart,Disappointing  Experience with Flipkart,2022-02-21,1.0,Senior Information Security Analyst,"1. CTC as per the market standards.
2. Good Medical insurance Plan.","1. Weak leadership especially in InfoSec domain. You get a feeling that you are talking to some rude boss not to a leader
2. Micromanagement where leaders and Tech leads try to be dominant over juniors. 
3. No Weekend/Public holiday/Nigh Shift allowance 
4. Weak HR system and HR's don't even talk to employees after putting resignation
5. Huge delay in releasing Experience letters, no system in place to track user requests, worst HR people."
172,Flipkart,Work experience in Flipkart,2022-02-20,3.0,CRM Team Leader,Decent package of salary and other benefits. And a good working atmosphere.,High work pressure. We unable to get time to breath. 14 to 15 hrs working time in a day.
173,Flipkart,Good place to work,2022-02-19,5.0,Data Engineer,"Nice work life balance
Smart peers",Less Pay when compared outside
174,Flipkart,Payscale,2022-02-19,3.0,Anonymous Employee,Culture of company is good but it depends on team manager,High disparity in pay at same level
175,Flipkart,Good WLB,2022-02-19,5.0,Anonymous Employee,Good WLB. Healthy atmosphere to work.,None that I can think of.
176,Flipkart,Best organisation to start your career,2022-02-19,5.0,Senior Executive,Good brand to work with proper work life balance,No such things which need attention
177,Flipkart,Very good,2022-02-18,5.0,Telecaller,The Working timings are flexible,You have work hard on when there is sale
178,Flipkart,Senior Learning Partner,2022-02-18,5.0,Senior Learning Partner,"Employee centric company 
Good at Cultur, Values and Ethics",Notihing as such - overall Good
179,Flipkart,Satisfactory,2022-02-18,3.0,Quality Manager,Flexible working hrs in company,Essential sector in the company
180,Flipkart,Good company to work,2022-02-17,4.0,Assistant Manager,People are good and approachable,Pay is then less than the industry standard
181,Flipkart,Toxic environment,2022-02-17,2.0,Manager I,"It only gives brand value to your resume.
Things are good for corporate employees","1. Very very toxic work environment in all FCs. (Facility centers).
2. Growth is only for the reference candidates from higher management.
3.Layoff is too high in FCs
4. They will hire at the time of load increase, but then they will give poor ratings to eliminate people who draws a fair package (use and throw technique)."
182,Flipkart,Planning,2022-02-17,4.0,Assistant Manager,"Good work life balance, great company culture.",Work might get stagnant after some point
183,Flipkart,Good job,2022-02-17,4.0,Technical Product Manager,It's a good job for me,All the way to the company
184,Flipkart,Laid back,2022-02-17,4.0,Software Development Engineer,"Good Pay, Good Work life balance","Career growth, promotions are pretty much unsatisfactory"
185,Flipkart,Awesome company,2022-02-17,5.0,Operation Manager,In house learning & IJP's,"No fast growth, frequent travelling"
186,Flipkart,Great learning and experience one will get at any level,2022-02-16,4.0,Design Manager,"Categories and internal job movements 
Fast paced environment 
Excellent office",Work life balance is poor sometimes
187,Flipkart,Great,2022-02-16,4.0,Product Manager,Great learning curve with talented folks in the team.,I think there is nothing as such
188,Flipkart,Supply Chain Management,2022-02-15,5.0,Supply Chain Manager,"Independent work environment - Yes
Authority of decision making confined to the scope of work - Yes
Work which directly impact on the revenue - High","Limited exposure to major/Cross Streamlines of work - Yes
Process derivation outside the scope of work is difficult - Yes
Innovation achievement and supporting material - Limited"
189,Flipkart,Great to work for,2022-02-15,5.0,Software Developer,"Good projects
Goo work life balance","Less pay
Still work from home"
