,company,headline,date,overall_rating,author_position,pros,cons
0,MathWorks,No stock options,2022-04-06,2.0,EDG Engineer,Not a good place to work,"Old tech stack, no stock options ,no free food, after working here career options will be limited. Bad leadership. Micromanagement"
1,MathWorks,Mediocre Salary,2022-04-02,2.0,Senior Software Engineer,Work Life Balance is ok,The salary is average at best. I feel it is below average.
2,MathWorks,"Profitable, stable company with great work/life balance",2022-04-01,4.0,Manager,"- stable company, consistently profitable, quarterly bonus even during recessions & pandemic
 - good benefits
 - managers interested in employee growth, thinking about long careers here.  opportunities for internal mobility
 - hybrid schedule - 2 days in/3 days out
 - Natick headquarters are very nice - almost everyone gets a private office","- comp lower than the big tech companies
 - behind on DEI efforts.  not transparent with salary/hiring data, just starting to create ERGs"
3,MathWorks,Great,2022-03-31,5.0,Warehouse Worker,Great environment to work with,Busy and working hard to achieve
4,MathWorks,Great place to work!,2022-03-31,5.0,Senior Program Manager,"We have a positive values based culture with open communication and collaboration. Our pursuit of excellence encourages new ideas, innovation, and process improvement. We are encouraged and there are systems in place to support staff driven initiatives and social responsibility. Our healthcare benefits are incredible, the investment in learning and training is superior, our home office headquarters in Natick is state of art , the people are genuinely good hearted people, and our pursuit of diversity, equity, inclusion, and belonging is a company priority.","We have two Natick campus', it would be nice to have everyone in Natick under one roof. Not really anything we can do here, but that would be nice. On the bright side, we have access to both campus' and MathWorks offers free bicycles during the warmer months to take a quick stroll in between campus'."
5,MathWorks,Good onramp to corporate world,2022-03-30,5.0,EDG,"MathWorks has the program called Engineering Development Group (EDG). They hire you at a position called Application Support engineers. They groom engineers in this program. There are 2 aspects to this role. 

1) One is providing customer support. Customer support handles cases related to MATLAB, Simulink where basically you are a customer facing engineer who resolve customer issues. Majority of the customers are automobile industries and college Prof/Students. We try to resolve cases at our end but if we need development support we escalate the cases and act as middle man between customer and development. 
This is good exposure to new hires since they don't know about MATLAB and Simulink, and how it is used in the industry. Also, they work on communication skills, stakeholder management and product knowledge in this role majorly.

2) Second is working with development teams here we work on small projects/features (4-6 weeks). This is normal Dev work, you work with them to get a taste of the team. This is kind of matchmaking, to see if you like the team and the team likes you. So you can work with different teams until you find a good match.

Once you find a good match you can transfer out to that team.","As long as you are in EDG you need to do support work. So, you can keep trying different teams but in parallel you need to work on support as well."
6,MathWorks,Great place to work,2022-03-30,5.0,Software Engineer,Great product and work life balance.,"Changes happen slowly, so career growth may be slow."
7,MathWorks,"Pretty good, lots of process",2022-03-29,3.0,Senior Software Developer,Quick to be remote during pandemic,Could be more transparent with career progression and growth
8,MathWorks,"If you are considering joining MW, don't....",2022-03-28,2.0,Anonymous Employee,"Good work life balance, I guess?","1. Absolutely abysmal pay
2. Very bureaucratic, takes forever to get anything done
3. Outdated tech stack"
9,MathWorks,Great,2022-03-26,4.0,Inside Sales Representative,Cool place to work great perks,Awesome job cool product and people
10,MathWorks,It's really really fun to work with people at Mathworks,2022-03-26,4.0,Associate Quality Engineer,"Great work life balance
Good compensation 
Excellent minds to work with",Probably company doesn't use the latest tech
11,MathWorks,Lives by the core values,2022-03-26,5.0,Director,"MathWorks lives by its core values - particularly respect and invest, and continuous improvement. Jack (the CEO) has consistently put employees ahead of customers and short term profits",It sometimes feels like a process heavy environment.
12,MathWorks,Great WLB & teams,2022-03-25,4.0,Anonymous Employee,"Great WLB
Good teams
Good benefits and perks
Managers provide you enough time to grow in your own pace","Some teams uses pretty old tools.
Salary :("
13,MathWorks,Good company with work life balance,2022-03-24,4.0,Software Development Engineer (SDE),"1. work life balance
2. pay is about average
3. Location","1. Pay is not as good as other internet companies.
2. Cannot fully remote."
14,MathWorks,Good culture,2022-03-22,4.0,Quality Engineer,"Good work life balance
Work environment
Immigration support","Low pay
Promotions are not transparent 
Growth"
15,MathWorks,Good place to work.,2022-03-22,4.0,Software Engineer,"Most people are supportive and importantly asking for help is not discouraged. People are ready to help across teams!
Very structured/procedural development process, may seem cumbersome at first, but the value will be clear once you understand and get used to it.
Work life balance is good too.","Depends entirely on team, but, not much work on ""cutting edge"" projects. While this may be discouraging, rest assured you will be working on real-world problems and have to find new ways to solve them."
16,MathWorks,Good company for a person to join,2022-03-21,5.0,Senior Software Engineer,Very good company to join to explore on going technology,Nothing till I am completely satisfied
17,MathWorks,Great place!,2022-03-19,4.0,Associate Software Engineer,"Scope to own major products
Involve in important steps like planning architecting","Can be a bit hectic during release deadlines
Micro management"
18,MathWorks,Not a diverse company,2022-03-17,3.0,Marketing Specialist,"At the individual contributor level, you work with some really great people.
Offering hybrid work moving forward
Product is very strong","This company has taken some hits in terms of turnover and overall lack of diversity, particularly in the last year or so. Leadership is a core group of the same people who have been in those roles for 20+years. Their culture is then strongly entrenched in the company, making it difficult to fit in.
The product is still very strong. It's more of the one way of thinking, particularly around culture, that needs to be more closely examined by people outside this core leadership team."
19,MathWorks,Peaceful work-life balance,2022-03-17,4.0,Quality Engineer II,"Work life balance
Work from home options
No high pressure","Leaves are less
Culture depends on the location and office"
20,MathWorks,Great,2022-03-16,5.0,Anonymous Employee,Best place for work life balance,Growth can stagnate over the years
21,MathWorks,Good company culture,2022-03-16,4.0,Applications Support Engineer,"1. Good culture
2. Experienced managers
3. Good team building
4. Work life balance","1. Slow Promotions
2. Less career growth"
22,MathWorks,Highly Recommend MathWorks,2022-03-16,5.0,Senior Agile Project Manager,"Work life balance - Hybrid work model
growth opportunity - Many opportunities to grow career
Focus on the Employees
Benefits - Healthcare, 401K matching, onsite Gym
Office Building - Everyone has their own office, great cafeteria (currently food is free), modern building
Training provided",Often have to move assigned seat
23,MathWorks,Top class,2022-03-16,5.0,Sales Representative,"Good life balance, good salary",None I can see at all
24,MathWorks,Overall good experience,2022-03-15,4.0,Software Engineer,"Private company
Benefits are good
With COVID policies in place, work from home is finally possible","Slow moving
Visibility to management is tough"
25,MathWorks,good company,2022-03-15,5.0,Sr Engineering Manager,good company to work for,"none, they are a very caring organization"
26,MathWorks,Safe company with interesting tech. Don't expect career growth.,2022-03-15,4.0,Principal Software Engineer,"Stable, safe company. Covers a wide range of industries so lots of interesting tech to work on. Exceptional work-life balance - no one expects you to work weekends or late nights. Top notch benefits.  Salary starts low but gets better over time. Some really brilliant coworkers.",Little to no career growth potential. You'll hit your career ceiling almost immediately.  Lots of dangerous office politics in the CDA group.
27,MathWorks,Great company to work for,2022-03-15,5.0,Anonymous Employee,"Amazing Culture
Engineers from various backgrounds",Slightly slower in terms of growth
28,MathWorks,Good balance,2022-03-14,4.0,Engineer,"Flexibility to choose a project
The company is growing rapidly so lots of opportunities to explore
Management is hardworking and helpful","Most of the time for project development goes in internal reviews and designs
Technical learnings are very minimal"
29,MathWorks,MW,2022-03-13,5.0,Tech Writer,"1. Good work-life balance
2. Nice working environment 
3. Nice coworkers
4. Lots of training courses 
5. Many interesting projects","1. Not easy to get promoted
2. Relative low payment
3. Don't have many opportunities to grow in the Documentation department
4. Senior management team of the Documentation department is not supportive 
5. Need to take side projects that are not related to your main work"
30,MathWorks,Great company to work with,2022-03-13,5.0,Associate Engineer,"Employee-friendly - Always considers employees' interests in terms of projects and benefits.

Great work-life balance

Competitive pay

Cab facility

Good leave policy","Slow-paced environment. Even for the simplest tasks, people take weeks to accomplish them."
31,MathWorks,Retirement home for people with any initiative,2022-03-12,2.0,Product Manager,"Nice offices. Everyone gets an office.
Great food in the cafeteria.
Some good people.","Work is challenging, mostly because of how process-heavy everything is. Nothing is simple. You have an idea you want to pursue? Follow up with 10-12 meetings with committee after committee. You do something new? you may get your hand slapped. Everything feels set in stone. 
Pay is mediocre at best. 66% percentile is the goal.
Stingy is the rule: Everyone gets a Lenovo Thinkpad. Want a Mac? buy one out of your own pocket.
Lots of people punching a clock and doing 9-5, waiting for retirement.
Despite products that have potential, marketing is stuck is aging leadership.
Leadership overall is a cadre of 20+ year lifers who block any upward mobility.
The job you get can likely be the job you keep for years. No room for growth."
32,MathWorks,Great company that cares!,2022-03-11,5.0,Marketing,"MathWorks is a very well run company with a wonderful social mission. The company puts an emphasis on work life balance and doing the right thing. Coworkers are all incredibly talented and smart. It is amazing to see how MathWorks solutions are used to help improve the world.

-Incredibly smart and caring colleagues
-Great work life balance
-Hybrid work option
-Amazing office and facilities",Very process focused which can make change slow.
33,MathWorks,Finance,2022-03-10,4.0,Finance,Great environment and friendly staff,Mid-low pay compared to other companies
34,MathWorks,Very good culture,2022-03-09,5.0,Senior Software Engineer,Great culture and people. The campus is super new,Not paid high as those tech giants
35,MathWorks,Great workplace,2022-03-09,5.0,Human Resources,"Great work life balance, training and development, benefits, room to grow.","Nothing in particular, overall great place to work"
36,MathWorks,Amazing place to work,2022-03-09,5.0,Senior Software Engineer,"* Opportunity for growth
* Company cares about employee's learning
* Competitive salaries with other excellent benefits
* Very organized work culture
* Cares about work-life balance",* Nothing out of the ordinary.
37,MathWorks,Good company,2022-03-08,4.0,Sales Representative,"Good company, and good work life balance",MathWorks under pays compared to similar companies
38,MathWorks,Nice place to work,2022-03-07,4.0,Quality Engineer,Nice work environment and good people.,Most of the teams work only with MATLAB. Less exposure to the latest technologies. Salary is less compared to peer companies.
39,MathWorks,Good company to work for,2022-03-06,5.0,Software Engineer,"Work-life balance.
Compensation
Flexible WFH
Easily accessible sick leaves
Experienced and helpful management",No cons as such. Good company overall
40,MathWorks,Great company especially for freshers,2022-03-02,5.0,Ui\Ux Designer,"Excellent culture, great learning exposure, good for engineering background","Limited growth, learning becomes limited after certain limit of time"
41,MathWorks,great work place,2022-03-01,5.0,Inside Sales Representative,great work place for everyone,I think somewhat rigid working environment
42,MathWorks,.,2022-02-28,1.0,EDG Engineer,I can't think of any pro,Not worth it. It is better to be unemployed than work at this toxic place
43,MathWorks,Great Company,2022-02-27,5.0,Outside Sales Representative,"- MathWorks offers a good Work/Life Balance
-Opportunity to work in dynamic software science and engineering space working with clients across many industries
-Consistent strong growth
-Privately held",MathWorks offers an above Industry average income
44,MathWorks,Happy enough but would love to see some changes for the better.,2022-02-26,4.0,,"Intelligent people, great benefits, good work-life balance.","Very process oriented, slow approval for new features and designs."
45,MathWorks,Great company,2022-02-25,5.0,Engineer,"Smart people, nice company, good benefits","Difficult to progress in career, difficult to move team, job can be repetitive"
46,MathWorks,Good company,2022-02-23,5.0,Data Entry Clerk,It is Very Good company,I do not have any Cons
47,MathWorks,"Cool, Stable Job Role",2022-02-22,4.0,Quality Engineer,"good company,
stable job,
decent pay,
Good WLB.","kind of routine work.
Pay could be better, lesser than peers."
48,MathWorks,Amazing company culture and work,2022-02-22,5.0,Software Engineer In Test,The best company for engineers. The company provides a plethora of incentives and the company culture is very supportive and encouraging.,Not that I can think of.
49,MathWorks,Nice place to work,2022-02-21,4.0,Inside Sales,Co-workers are all good people to work with.,Some company policies don't match market & customers' needs
50,MathWorks,Math worker,2022-02-21,4.0,Accountant,"Great work life balance, benefits",Mgt slow in making decisions
51,MathWorks,Amazing people,2022-02-18,5.0,Ambassador,The employees at MathWorks are all super kind and supportive.,"Everything takes really long to travel through the ladder, but that is common for engineering companies. Ambassador position does not lead to full time job though."
52,MathWorks,Sales,2022-02-18,5.0,Sales,Good employer good work envitonmfmy,Salary is not really good
53,MathWorks,Great company with great values,2022-02-17,4.0,Anonymous Employee,"Great culture, Believes in doing the right thing, Good work-life balance, own office space and great buildings","Decisions can sometimes take a long time as there are several reviews
Not many growth opportunities"
54,MathWorks,Good,2022-02-17,5.0,Anonymous Employee,Good excellent nice good life balance,Good attitude nice good energy
55,MathWorks,Love working here!,2022-02-16,5.0,Inside Sales Representative,"Great company, great benefits, love who I work with, have learned a lot, great work life balance",Hybrid model once we go back to the office
56,MathWorks,Good,2022-02-16,3.0,Anonymous Employee,Good good vibes and all,Good good luck with the new update
57,MathWorks,Good place to work,2022-02-16,5.0,Senior Associate Quality Engineer,"Work Flexibility, Good learning opportunity",Growth is slow career wise
58,MathWorks,Really good company for retirement,2022-02-16,4.0,Senior Team Lead,"Stable, Excellent WLB, Good Management, Diverse teams","Slow technology adoption
Sometimes hierarchy can cause more harm than good"
59,MathWorks,Embedded Software engineer,2022-02-16,3.0,Software Engineer II,"- Less stress
- Get to work on multiple technologies each release","- Totally MATLAB coding
- Very less C/C++ depending on the team"
60,MathWorks,"Great wlb, below average pay",2022-02-13,3.0,Software Engineer,"Great wlb
Great teammates
Individual offices
Great benefits","Below average compensation
Number of years are considered for promoting roles"
61,MathWorks,Good WLB. Esoteric tech stack,2022-02-11,3.0,Engineer,"Good WLB.
Good Management.
Challenging, fulfilling work.","The tech stack and work is specific to MathWorks. Unless you work in one of the few teams who work on cloud, deep learning, etc, it will be difficult to switch jobs later on. Skills are not transferable.

Base salary is good, but without any stock component(as this is private firm), you will earn less than your peers who get fat stock bonuses."
62,MathWorks,Looking for product management roles,2022-02-09,5.0,Senior Software Developer,Prior product development and road mapping experience,No prior product management experience
63,MathWorks,Growing Private Tech Company,2022-02-09,5.0,Sales Operations Analyst,The company is still growing. Nice quarterly bonus. Employees got to enjoy company outing at Mt. Washington (pre-covid) and every 5 years the company sent employees to Big Anniversary Event in fun places around the country.,Salary is not up to par compared to other Tech companies.
64,MathWorks,Happy and open environment,2022-02-09,5.0,Software Engineer,"Independent ownership of the products
Good boss",No seperate cabinet for individuals
65,MathWorks,Great place to work,2022-02-08,4.0,Anonymous Employee,"Good work life balance
Great teamwork
Good values",Progress might be a bit slow
66,MathWorks,Software Engineer,2022-02-03,5.0,Software Engineer,Good work life balance in the team,Older tech stack for source control
67,MathWorks,Amazing company,2022-02-01,5.0,Software Engineer,"Work life balance
Respect
Continue improving
Teamworks
Nice cafe","Not at all
NA
NO
Do not exist
Nah"
68,MathWorks,Awesome,2022-01-31,5.0,Anonymous Employee,Culture is the best - very healthy atmosphere and fun,Salaries could be increased at some point
69,MathWorks,Great company to work,2022-01-29,5.0,Software Developer,"Highly knowledgeable colleagues with great worth ethics 
Work life balance","Package offered is just ok.
Car lease program can be a great value addition"
70,MathWorks,Might not be everyone's cup of tea,2022-01-27,3.0,Engineering Development Group (EDG) Engineer,"1) great work culture
2) The colleagues are very friendly and approachable.
3) There is good work life balance
4) Managers are very supportive
5) You get to work on projects that 
are aligned to your interests, and the projects are mostly quite challenging as well.","1) The pay is not that good, considering the fact that they recruit people from tier 1 institutes. 
2) Most EDGers find the technical support part uninteresting and tiring. I personally don't feel that it'll help the new recruits in long term. there is not much skill that is learnt through technical support.
3) You might not get a chance to join the team or your interests. It all depends on the requirements. Until you get transferred, you might not get to experience the actual development cycle.
4) You will have to spend some time on things that are hardly anything technical . you'll be judged based on that too."
71,MathWorks,Great colleague and work-life balance,2022-01-27,5.0,Anonymous Employee,"friendly and helpful colleagues
standard working hours","there is plenty of space for dining and free beverage, but no fresh/hot food station during lunch hour."
72,MathWorks,Great place to learn and grow,2022-01-27,5.0,Senior Applications Engineer,"Great work life balance, great learning by collaborating with really smart individuals across the teams, 6% 401K match ,flexibility in switching teams for continuous learning.",Low compensation compared to the big software tech companies in the Boston area
73,MathWorks,great work life balance,2022-01-26,5.0,Anonymous Employee,"competent team-mates, great work environment",work from home not encouraged
74,MathWorks,Good company with work life balance,2022-01-26,2.0,Software Engineer,"Good work life balance
Good friendly and cooperative and collaborative culture","Less compensation and hikes
No cutting edge technology
Too much process oriented
slow moving company
slow promotions"
75,MathWorks,Good place to settle down in career,2022-01-26,4.0,Associate Quality Engineer,"Good collaborative workplace, work-life balance.","Tech stack restricted to MATLAB mostly, pay is slightly less compared to industry standards."
76,MathWorks,MathWorks is just a joy!,2022-01-25,5.0,Engineering Development Group Engineer,MathWorks excels in having the ideal environment for work/life balance and the company is run in a manner that just makes sense. Employees always come first and there is real joy in the meaningful work being done here.,Nothing comes to my mind.
77,MathWorks,"Interesting company, middling pay, isolated work environment",2022-01-24,4.0,Software Engineer II,"- Interesting work (team-dependent, but many teams working in many fields)
- Company values feel genuine, upper management seems invested in the work, not just payouts
- Very smart colleagues, great place to learn","- Sub-par pay/benefits for a tech company.
- Strong correlation between effort/output and performance-rating, but minimal impact on compensation
- Teams are small and each generally covers a very wide field. Expect the majority of your work to be done alone (can be a blessing and a curse)"
78,MathWorks,Good place for students to work,2022-01-22,4.0,Anonymous Employee,"- decent pay
- managers and co-workers are competent and nice",- not much opportunity to advance
79,MathWorks,EDG just isn't worth it for most people,2022-01-19,2.0,Applications Support Engineer,"-Great colleagues. Most I met were great to work with

-If you're looking to move from a non-CS background to software engineering it can provide you with a good transition, as they actively hire non-CS grads.","There are a lot of reasons why I would highly advise against joining EDG and have highlighted the main ones.

- There is a high probability that you will not get the position you want once you transfer out of EDG. You can end up waiting years for a position to open up in your preferred team. Most people choose to transfer to whatever position is available rather than wait for their preferred position because the technical support (in theory 50% of the work, but often higher) aspect of the work ends up being so unbearable after around 9-12 months.

- The department is constantly understaffed and we are put under a lot of pressure to satisfy the department KPIs of resolving support tickets. This in practice meant pulling a lot of extra work to deal with the workload and for a long time even being asked to work on cases during weeks allocated to projects weeks

- The managers are clueless and have limited experience with technical support and do not seem to understand the challenges of technical support and the fact that most of our challenges stem from being understaffed. If it wasn't for our full-time Technical Support Engineer colleagues with their high-value experience and knowledge we would be screwed. The Managers just blame us for being overwhelmed with cases on the""team efficiency"". They would constantly come up with terrible ideas that don't work and create an atmosphere where short-term fixes and taking shortcuts (e.g. spending less time per case to resolve it) were encouraged implicitly. When these shortcuts would inevitably backfire and engineers receive low customer satisfaction surveys, the manager would act all surprised that it happened and chastise them.

- Work-life balance can be a hit or miss. I had no issues and managed to get work done without working overtime, but I know a lot of people who had to work many extra hours. The main culprit of this was getting new responsibilities without adequate training or support to take on that responsibility. A common situation was when EDGers would be given the rotational team lead role and would work extra hours due to the high volume of tech support cases and the high pressure put on them to deal with it.

- A lot of useless/outdated training and processes (which you often need to do during your project weeks). What ends up happening is that in frustration answers get copied from more senior staff who have already completed them.

- EDG is an afterthought in the company and it is seen as less important than other roles. An example is that for orientation in pre-covid times, EDGers are put in the back of the line can end up waiting over 10 months to complete their BPO (company orientation), while staff from other departments often have the option to do it in the first few weeks/months. 

- The way that management gets around their failures to hit KPIs is by deflecting the failings to the EDGer. Every year a certain percentage of EDGer worldwide are laid off due to ""performance reasons"" (Similar to the ""hire to fire"" policy that other companies use)"
80,MathWorks,Very stable and secure company,2022-01-19,4.0,Renewal Sales Representative,Great work/life balance and very good people.,Slow and conservative processes. Although fast paced environment which is not necessarily suitable for everyone.
81,MathWorks,Great place to work,2022-01-19,5.0,Quality Engineer,"Good benefits
Great company culture
Very fullfilling",Not much to mention here
82,MathWorks,Poor choice for women,2022-01-18,2.0,Product Marketing Manager,"Interesting product and technology, smart colleagues, day-to-day work load is reasonable","Limited career growth, particularly for women, senior women are treated as less knowledgeable than junior male colleagues, company said they would be looking into diversity in 2020, but nothing happened, no transparency on salaries or even the gender makeup of departments and management, looking at average salaries, I am making shockingly less than the average salary with my experience. I wish I had gone to another company earlier in my career."
83,MathWorks,Best Environment to work. Interesting Projects. Safe for job security.,2022-01-17,4.0,Software Engineer II,Quarterly Bonus. Good salaries. Less pressure. Good work life balance. Good hikes.,Sometimes micro management. Projects with our area of interest might not be available as soon as we join.
84,MathWorks,Good Place to work,2022-01-16,5.0,Software Engineer,"MathWorks has a lot of interesting products with massive amount of engineering requirements. There is always more work than the employee number. Engineering employees are highly qualified with almost everyone having a Masters degree or above. 

There is a lot of internal decision making and prioritization involved making before taking an action. Work life balance is also highly valued.","Almost every product has a massive engineering requirement but engineering innovation and improvement is not valued so much. 

Teams are now getting focused on improving developer experience but it still lacks as compared to standard software engineering firms.

Overemphasis on meetings causes a lot of employee fatigue. Employees are expected to work according to a spec."
85,MathWorks,Excellent place to be a graduate,2022-01-15,5.0,Engineer,Excellent perks and well designed transition to development for graduates.,I haven't found any so far!
86,MathWorks,"Generally great, with some caveats",2022-01-15,4.0,Anonymous Employee,"Good management and HR practices, a good place to learn management skills.
Bonus program is fantastic, if you’re a high performer and have been there a few years. Great benefits program too.
Logic generally rules the day, little politics.
Strong company culture. 
Many people have been there a long time, which helps them be effective in their roles.
Strong investment in IT.
High standards and high caliber coworkers.
Good work life balance.","Base salaries not competitive.
Soul-crushing perfectionism — and I say this as a self admitted perfectionist.
Slow decision making processes. Trust has no place at MathWorks. No leaps of faith.
Long tenure of people means they often lack outside perspective or fresh thinking. 
A dry, humorless place for the most part, if you’re a manager.
Slow career progression."
87,MathWorks,"Solid company, friendly environment",2022-01-14,5.0,Applications Engineer,"Helpful and friendly coworkers/managers
Thorough training",Not always clear on how to change teams and to progress throughout career
88,MathWorks,Top notch company,2022-01-14,5.0,Anonymous Employee,"- a lot of really smart coworkers who care about their work
- everyone gets a private office, and the campuses are very nice
- good work/life balance
- company does a good job adapting to change (customer needs, WFH, technological adoption)",Natick campus can be a long commute for some.
89,MathWorks,Hyderabad Office - Highly mismanaged and political Environment,2022-01-14,1.0,Engineering Development Group (EDG),"Good Teammates
Good Office facilities
Decent compensation","Highly unproductive, mismanaged, political environment. Mangers are busy pushing people to the QA team and getting rid of their responsibilities.

Not much good stuffs to work on."
90,MathWorks,Good work-life balance,2022-01-14,4.0,Software Engineer,"- Process Oriented
- High Quality Standards","- Too deliberate
- Revenue is concentrated to a limited number of products"
91,MathWorks,Good company but slow,2022-01-13,3.0,Senior Software Engineer,"Stable product/company
Decent benefits and perks","Tech stack and professional growth limited
Depends on the team really"
92,MathWorks,Great place to work,2022-01-12,5.0,Software Engineer,"MathWorks provides interesting work, good benefits, and a nice working environment. I did get the sense that the company takes care of its employees.","- With certain products and projects, the pace will feel quite slow for a tech company
- Transitioning teams is difficult but not unheard of"
93,MathWorks,an amazing decade at MathWorks,2022-01-12,5.0,"Manager, Engineering Development","* work life balance
* huge impact on the world through our prodcuts
* good company culture and core values
* much less politics or toxic enviornment as compared to most of my friends companies. (often depends on your team/ manager, but generally the work culture at MathWorks is good).","* competitive pay, but still not as high as FANNG etc."
94,MathWorks,Almost perfect,2022-01-12,5.0,Application-Engineer,"Six of the nine pillars are respected:
- Compentency of my manager 5/5
- Relationship with my manager 5/5
- Global relationships 5/5
- Flexibility 5/5 
- Salary 4/5
- Work interest 4/5
- Work technical interest 4/5","2 of the nine pillars are not:
- Internal career evolution 2/5 (depends if you do care about it)
- Work for company's projects 1/5 (normal! it is the definition of our work)"
95,MathWorks,M,2022-01-11,5.0,Product Manager,Great place to work try employees great,I couldn’t be happier working here
96,MathWorks,Go for it,2022-01-09,5.0,Software Program Manager,Everyone is super supportive. Work culture is great,Employee growth is a little slow
97,MathWorks,"Good Culture, Uninspiring Work",2022-01-09,4.0,Associate Software Developer,"Great work life balance
Intelligent coworkers, lots of learning opportunities for entry level engineers","Classic corporate meeting culture, too many meetings that could be emails
Mediocre pay
Many nontransferable skills for software developers
Does not really feel like ""cutting edge"" work
Generally conservative company that is resistant to change, lags behind industry"
98,MathWorks,Fantastic organization,2022-01-05,5.0,Anonymous Employee,"Excellent core value practice
Extremely collaborative
Very non-hierarchical
Awesome social practices","Perhaps too collaborative
Not known for high compensation
Just recently adopted WFH policy"
99,MathWorks,"Amazing place to work, great leadership at the top",2022-01-05,5.0,Manager,"Smartly run, profitable, private company so no answering to stock holders, great products.","Political management below the C level. Very clicky and if you're not ""in"" they will drive you out with poor reviews where they make up false performance."
100,MathWorks,A great place to work and learn!,2022-01-02,5.0,Software Engineer,"The working environment is very friendly and comfortable. Follows a flat hierarchy, you can go to anyone with any sort of queries - they will be answered. A great place to learn new concepts and workflows, great experience to work in a team of experts. A lot of industry level trainings offered.",You can be subjected to high pressure during end game period of the release cycles. Too much process oriented.
101,MathWorks,Great organisation,2021-12-25,5.0,Senior Manager,"Work life balance, long term vision","Not fast moving, monolithic organisation"
102,MathWorks,Good company for your first job,2021-12-24,4.0,Associate Applications Engineer,"Interesting work
Patient, Collaborative, and Kind work environment
Flexible schedule
Good Pay for new grads with Engineering Degrees
Extensive training in MATLAB and other MathWorks Products",Work from home policy needs to be updated.
103,MathWorks,Good company,2021-12-23,4.0,Senior Software Engineer,You will have a good work life balance,You may not get to work with the latest and greatest tech
104,MathWorks,Good company,2021-12-23,4.0,Senior Associate Software Engineer,"Culture is good, perks and bonuses are good.
Exposure to customers and world standards",Heavy work when deadline is nearing (happens with any company)
105,MathWorks,NA,2021-12-22,4.0,Senior Technical Writer,A great company to work with,Not that I can think of
106,MathWorks,Great company,2021-12-22,5.0,Anonymous Employee,Excellent place to learn and grow,You should be self-motivated and take on newer projects
107,MathWorks,Good Company to work with,2021-12-21,5.0,Senior Associate Software Developer,Good work life balance and humble people,No cons as of now it is very good company
108,MathWorks,A company with a soul,2021-12-20,5.0,Senior Team Lead,"-Stay motivated and up to date with technically strong and intelligent coworkers.
-The company strives to do the right thing by its customers and its employees.
-With technical solutions offered to a wide variety of industries, there is plenty of room for one to specialize in diverse domains and technologies.",Process can be slow given how calculated every decision is.
109,MathWorks,Improving and maintining quantity,2021-12-16,5.0,Quality Engineer,Great work culture and work life balance,No improvement after some time.
110,MathWorks,SDE,2021-12-15,4.0,Anonymous Employee,great work life balance and nice people,compensation is not very strong
111,MathWorks,Good place to retire,2021-12-15,3.0,Software Engineer,"Friendly people.
Good WLB.
Good mentorship during early stage of career","No career growth after first 2-3 years. Promotion process not transparent.
EDG is waste of time."
112,MathWorks,Great place,2021-12-15,5.0,Data Analyst,Great place to work at,Competetive place to work at
113,MathWorks,Great for finding your passion,2021-12-10,5.0,EDG Engineer,"Position let’s you explore several teams to find one that works for you.
Friendly staff.
Great food.","If you don’t find your passion, you feel stuck in your role."
114,MathWorks,Excellent place to work,2021-12-09,5.0,Software Development Manager,"* Great cutting edge problems to work on.
* Management hierarchy is highly technical and so less room for politics and other inefficiencies.",* Conservativeness in its investments.
115,MathWorks,respectful enviroment,2021-12-07,5.0,Applications Engineer,Respectful workplace. Nice people. Good work-life balance.,Pay is low compared to similar jobs.
116,MathWorks,Great work culture,2021-12-06,5.0,Anonymous Employee,Proper work-life balance. A good place to be for long term,I cant think of any
117,MathWorks,"Progressive, supportive, a great place to work",2021-12-03,4.0,Anonymous Employee,"Making a genuine impact on the world, professional skilled colleagues, good culture.",Technical skills and a good grasp of an array of industries can be challenging
118,MathWorks,good work life balance,2021-11-30,4.0,Senior Software Engineer,"Good life work balance, flexible working hours","no comments, still enjoy working here"
119,MathWorks,Beautiful Environment And Challenging Work,2021-11-26,5.0,Associate Quality Engineer,The work-life balance is unmatched,"None as such, if you are in a team of your interest its fun"
120,MathWorks,Great to work,2021-11-24,5.0,Applications Engineer,"The company respects employees, great workplace","low salary, constructive, and hard to transfer"
121,MathWorks,Review,2021-11-23,5.0,Anonymous Employee,Excellent opportunity work latest technologies,Nothing much as of now
122,MathWorks,Amazing place to learn and a great company culture,2021-11-18,5.0,Application-Engineer,MathWorks is an company focused on their Employees and helping their customers.,Sometimes difficult to work on real hardware if you are outside a hardware specific team
123,MathWorks,Great for starting or retiring,2021-11-17,4.0,Senior Software Engineer In Test,"Nice campus.
401k match
Everyone gets an office.
Flexible work schedule.
Intelligent and reasonable colleagues.
Very supportive in continuous personal growth.","No clear career path in Quality Engineering department. Vertical promotion is very slow, set your expectation to one promotion every 7 years or so. Pay feels subpar."
124,MathWorks,Great place to work,2021-11-13,4.0,Recruiter,"Excellent company culture 
Innovative and always looking to do the right thing",Hard to find something negative to say
125,MathWorks,Best to Work,2021-11-10,5.0,Senior Quality Engineer,"Got chance to work in hyd as well as bgl office
Bgl office is nice to Work with
Nice and supportive people
Nice scope of growth",Lot of poiltics in Hyd office.
