,company,headline,date,overall_rating,author_position,pros,cons
0,Red Hat,Great place to work,2022-04-07,3.0,Analyst,Remote ok ... work around your life style,"none to mention, very respectful employer"
1,Red Hat,Amazing,2022-04-07,5.0,Digital Marketing Manager,"Only pros, great company where to work",No big cons in my opinion
2,Red Hat,Good wlb in this company,2022-04-07,4.0,Senior Software Engineer,"Work life balance is good, lot of recharge days
Recent projects and technologies to work on","Pay is low compare to other US company
challenges are not always high
No Production
activities
connection"
3,Red Hat,Great company,2022-04-07,4.0,Channel Sales Executive,"Great values, culture and portfolio",IBM increasing influence and impact on decisions.
4,Red Hat,FANTASTIC company values!,2022-04-07,5.0,Partner Success Manager,"- Great company values
- High skilled internal stakeholders
- Great Management policy
- Many (and real) career opportunities",I have nothing to add
5,Red Hat,A good experience,2022-04-07,5.0,Anonymous Employee,"Flexibility, Openness, Transparency, encouragement to continue to learn and grow",lower pay scale compared to market standards
6,Red Hat,Great company,2022-04-06,5.0,Associate Solutions Architect,Great work/life culture in the company,Salaries can tend to be low.
7,Red Hat,Best Place to work,2022-04-06,5.0,Associate Systems Administrator,"Best culture, freedom, values, best management",No cons in Red Hat
8,Red Hat,Benefits,2022-04-06,4.0,Anonymous Employee,"Team works, collaboration good career path",Long working hours with no compensation
9,Red Hat,Great Culture,2022-04-06,5.0,Senior Solutions Architect,"Great Culture, Good Remuneration, Looks After Their People, Opportunities to upskill.",Better enterprise tooling - conformity across regions and teams
10,Red Hat,Working at Red Hat,2022-04-05,5.0,Senior Technical Support Engineer,"- Highly collaborative environment.
- Excellent managemnet support.
- Opprotunities for career growth.
- Benefits and quarterly bonuses.",- Work-life balance can sometimes be affected.
11,Red Hat,MDR team APAC,2022-04-05,4.0,Sales Development Representative,Openshift containers platform is strong in market,Acquisition by IBM has stripped RH of it's former glory
12,Red Hat,Total mess,2022-04-05,1.0,Anonymous Employee,"- pay is good
- flexible work from home","Gigantic mess of a company. Lack of processes and ownership, too many teams working in silos and there is no end-to-end view.
Sales ans delivery organisations don’t talk to each other, leading to the problems you can imagine."
13,Red Hat,Great culture,2022-04-05,5.0,Technical Support Engineer,Great open culture and flexibility.,No cons for right now.
14,Red Hat,No more open organizations,2022-04-04,3.0,Sales Representative,"- work and life balance
- wellbeing life",frequent turnover and much-changed management
15,Red Hat,Love this company,2022-04-04,5.0,Software Engineer,Good team comunication and company support.,Salary it's not the best in the area.
16,Red Hat,Good internship,2022-04-04,4.0,Software Intern,"Lots of freedom, work with smart people","A little unstructured, was remote"
17,Red Hat,Very good work Culture,2022-04-04,5.0,Technical Support Engineer,"Work Environment, Management, Salary, Health Benefits",I did not think any Cons.
18,Red Hat,Redhat,2022-04-04,5.0,Anonymous Employee,Salary is the best part in redhat,No cons can be found
19,Red Hat,Excellent company to work for,2022-04-03,5.0,Manager,Open and positive work environment,Cannot think of any as of now
20,Red Hat,Amazingly great company; wonderful bunch of smart and friendly geeks,2022-04-03,5.0,SW Engineer,Wonderful open source culture. Cares a lot about the world and its people.,Not the highest salaries in the industry.
21,Red Hat,Great employee,2022-04-03,5.0,Manager of Sales,Positive experience with people and that the customer is always right even when they are wrong,Uncomfortable hours bad weather bad foods
22,Red Hat,It is good place,2022-04-03,4.0,Product Manager,"Great people, great tech, good challenges","Infra focused, difficulty in the market"
23,Red Hat,Review,2022-03-31,4.0,Technical Support Engineer,"- Good learning curve
- Red Hat is a big brand
- Great platform for open source contribution
- Good work life balance",- Less time to explore products outside your team
24,Red Hat,Great company,2022-03-31,5.0,Principal Software Engineer,"Outstanding culture, benefits, and teams.",Compensation not competitive with other tech companies
25,Red Hat,"Good benefits, poor middle management and job satisfaction.",2022-03-31,3.0,Revenue Accountant,"Benefits, compensation, and company-wide culture are strong.","Internal processes are often immature, ineffective, and reliant on squeezing as much out of employees until they break as possible. Rather than management investing in employee well-being and fixing processes, they only provide enough resources to keep broken processes running most of the time, all at the expense of employee job satisfaction. This has lead to poor work-life balance and a high level of turnover."
26,Red Hat,Worst Company Ever,2022-03-31,1.0,Anonymous Employee,None that I can think of.,Totally screwed up my insurance on the way out. Cut off coverage WITHOUT letting me know. Get a letter dated March 28 that my coverage ended on the March 18. Found out AFTER a trip to the ER. Never heard from HR about benefits when I gave notice. All they cared about was what they could do to keep me from leaving. They can't keep good people right now and can't hire.
27,Red Hat,Best Place to Work,2022-03-31,5.0,Senior Manager,"Collaborative work place
Very employee focused
Open decision framework is followed everywhere
Lot of advancement opportunities",None at the moment. Great work place!
28,Red Hat,"Great company, great culture",2022-03-31,5.0,Principal Technical Program Manager,"Culture,  atmosphere, open source technology, hybrid cloud",there aren't many cons at Red Hat.. Maybe just the fact that it is a big company.
29,Red Hat,.,2022-03-30,5.0,Anonymous Employee,so far all good in company,No cons so far all good
30,Red Hat,"Nice company, culture and environment.",2022-03-30,3.0,Data Information Analyst,"Good work culture,
People are friendly,
Open to use any tool/technology","Growth,
Salary Hike,
Politics,
Your Efforts are not recognized well"
31,Red Hat,Amazing Workplace,2022-03-30,5.0,Solutions Architect,I love the collaboration and the openness of the entire company. I never feel like I am left out of the loop on decisions and why they were made from executives. The benefits package is awesome too. Everybody is willing to step in and help you in any way possible to help you succeed.,"Sometimes there can be a lot of emails but it's in the vain of openness. Not a huge deal, and can filtered out pretty easily if you don't want to see them."
32,Red Hat,too  much ibm,2022-03-30,1.0,Anonymous Employee,family benefits is good and,ibm just cant handle staff well
33,Red Hat,Excellent Company,2022-03-30,5.0,Data Analyst,"Full of Pros, which ever field you take.",No cons as per my knowledge working for 3 years
34,Red Hat,"Talks big, acts little",2022-03-29,3.0,"Senior Manager, Human Resources",Freedom to do whatever you want with very minimal accountability. Build skill set of working in the gray.,Very little is planned or thought through before it is announced. People work in silos and want to keep it that way. Feedback is a check the box exercise.
35,Red Hat,Join or not,2022-03-29,3.0,Senior Manager,"Good Culture
Work life balance
Flexible 
Remote","less pay
Not much equity
diversity
leadership talks but no actions
Dont know how to keep their employees"
36,Red Hat,Good,2022-03-29,5.0,Senior Software Quality Engineer,". Good culture
.Freedom
.Fairness
.Good work life balance
.Space for innovation",".Salaries (for the level of knowledge and responsibilities of the employee)
.Lack of standards
.Company takes too easy on unproductive peers"
37,Red Hat,Very decent and good company,2022-03-28,4.0,Translator,A good company driven by innovative motives.,The Japan office seemed unorganized and even chaotic probably because the misinterpreted meaning of the company's open culture.
38,Red Hat,Love Red Hat,2022-03-28,5.0,Principal Software Engineer,"Laid back environment, supportive managers",Promotion process is opaque and difficult.
39,Red Hat,Great company overall,2022-03-28,5.0,Director,Very good open culture. People are always willing to help.,Nothing specific to talk about here.
40,Red Hat,Great culture & company to work for,2022-03-28,4.0,Technical Project Manager,Great working culture and colleagues.,"A lot of teams & processes, so there are variations on how things are generally done."
41,Red Hat,Good work Life balance,2022-03-27,4.0,Solution Sales Specialist,Good work life balance. Since early Covid times we got one extra recharge day every quarter. Flexible working hours and not so much pressure in sales as in many other tech companies. The people are nice and the Emea team works nicely together.,"After the IBM acquisition some products have been “given away” to IBM and the focus shifted to selling hybrid cloud solutions, meaning that there’s a big focus on OpenShift. Difficult to sell anything if the customer isn’t into Kubernetes and containers."
42,Red Hat,Great Company,2022-03-27,5.0,Anonymous Employee,Great work life balance and company culture,I currently have no cons
43,Red Hat,It's comfortable,2022-03-26,5.0,Anonymous Employee,"Very relaxed culture, smart and friendly co-workers, zero tolerance for micro-management, accommodating to passions and goals, great work/life balance.","Could pay a little more but pay not that bad, just negotiate!"
44,Red Hat,Toxic Environment,2022-03-26,1.0,Account Manager,"Decent pay vs. others, still expanding","Lots of issues in MENA subsidiary. It has changed a lot and becoming worse day after day. Not actually open anymore, as they claim, as the culture has changed a lot. Management doesn't think about what is right for the company but more about doing whatever is needed to achieve the numbers for their profits.
Employees become snitches on their colleagues is common for the sake of their personal gains. Culture is toxic, fake, and only about politics and personal interests. Unfortunately, diversity doesn't exist in the MENA office with the dominance of people with the same ""background/nationality/former employer,"" which helped speed up the toxicity spread in the environment.
Too bad, Management is fully aware but decided to look away despite the escalations and evidence. I would not recommend this place to anyone."
45,Red Hat,good,2022-03-25,5.0,TSE I,good work culture and no issues,no cons as of now
46,Red Hat,We are Red Hat,2022-03-25,5.0,"Customer Success Area Manager, Director",Great culture with a lot of growth and upside.,Some bigger company challenges but not anything major.
47,Red Hat,Great Culture,2022-03-25,5.0,Finance Analyst,"Great culture, management are as open as they can be, nice additional benefits such as good healthcare plan",Constant change brings additional stresses. But this is to be expected in this industry
48,Red Hat,"Open culture, nice teammates :)",2022-03-24,5.0,Market Development Representative,Everyone here is very supportive. Just reach to the people in Red Hat and they are willing to share their knowledge with you.,"Not encourage to work overtime, work-life balance is the priority."
49,Red Hat,Great place to work !,2022-03-23,5.0,Anonymous Employee,Facilities and work culture helps you to grow !,Nothing is really bad !
50,Red Hat,Not what you think it is,2022-03-23,2.0,Program Manager,"Good brand recognition
Some (not all) decent perks
Some pockets of good work","It's not really ""open"" like one may think from previous leaders. 
Outside of products it's not innovative
Terrible health benefits
Not very strong decision makers at any level"
51,Red Hat,Very nice company to work with.,2022-03-23,5.0,Anonymous Employee,Very nice cultural and open environment.,Nothing as of now. Work hard and you will get what you deserve.
52,Red Hat,Excellent workplace,2022-03-22,5.0,Senior Technical Support Engineer,"- Employee centric
- Good work life balance",- I have not found any till now
53,Red Hat,Great Place to Work,2022-03-22,5.0,Senior Project Manager,"Flexible, Positive, Competitive pay, work-life balance",Leadership does not always provide clear direction
54,Red Hat,Good place to work,2022-03-22,5.0,Anonymous Employee,"Great work culture
Transparency
Good HR policies",Can't think at the moment
55,Red Hat,Great employeer,2022-03-22,4.0,Senior SRE,Red Hat cares about its employees. Overall personal experience is great.,The salary tends to be lower than elsewhere.
56,Red Hat,Good culture,2022-03-22,4.0,Engineer,"Openness, inclusion and diversity.
Transparency
Great leadership
Confidence in business growth
Remote working","Pay is less competitive
Meeting across timezones is sometimes painful"
57,Red Hat,Excellent company to work!,2022-03-21,5.0,Anonymous Employee,- Open Culture and people,- Quick growth may damage the culture
58,Red Hat,good place,2022-03-20,4.0,Technical Account Manager,get to be familiar with many new technology,no strict process to follow. Need employee self discpline.
59,Red Hat,"Too matrixed, too political to solve the most urgent problems",2022-03-18,3.0,Sales Operations Associate,"From a pay/benefits perspective, Red Hat is excellent: affordable insurance options, extra company recharge days, paid parental leave, flexible WFH options, bonuses paid quarterly, tuition reimbursement, and even free employee access to Red Hat training and certification exams.","There are a lot of people who get roles that don't suit their expertise/background, internal roles go to someone who knows somebody, rather than the most qualified or for added diversity. This makes for messy and ineffective plans and execution. The company is matrixed and segmented in weird ways that oftentimes seem illogical for productivity and efficiency. Change management is atrocious and there are always several business shifting changes that occur each quarter before the last load of changes had a chance to be adopted. This has resulted is mass turnover. Now there are enormous gaps in tribal knowledge, because nobody documents anything, but if they did it would be outdated. So much of the work is spinning wheels because the business won't allow to slow-down and address systemic and root cause problems. Everything is just push through and survive to the next round of changes. And forget about measuring for success, reflecting on efficacy or ROI."
60,Red Hat,Awesome place to work,2022-03-17,5.0,Principal Architect,Open and transparent culture. Brilliant colleagues.,Not that I can think of
61,Red Hat,Great company to work,2022-03-17,5.0,Anonymous Employee,"Flexible work environment
Open source culture",Nothing as such because pay and perks are decent enough to keep you going.
62,Red Hat,Excellent company to work for,2022-03-17,5.0,Market Development Representative,"Good work/home balance. 
Full training 
Open Culture",I have found no cons
63,Red Hat,good employer,2022-03-17,4.0,,good culture and great team environment,"was reduced career progression for technical folks, but believe they have resolved now"
64,Red Hat,Management does not listen to employees,2022-03-16,3.0,Program Manager,"Easy work, low pressure at times",Lack of a voice with leaders
65,Red Hat,Great place to work at,2022-03-16,5.0,Software Engineer,Benefits and work life ratio are great,A little lower salaries than competition
66,Red Hat,Very Good Environment with great people,2022-03-16,5.0,Consultant,"The environment and dealing with people are amazing, we have opportunities to grow internally, great material to get more knowledge, great Salaries and having great colleagues who will support when they can.",working alone on some engagements instead on working in a team may be not good for some characters.
67,Red Hat,Sales Analyst,2022-03-16,5.0,Senior Sales Analyst,"Work life balance
Flexible timings
Good Pay","Management could be better
Less Bonus Quarterly"
68,Red Hat,Good Company,2022-03-15,5.0,Senior Consultant,The best company to build and growth your career !,not applied for that !
69,Red Hat,excellent company,2022-03-15,5.0,Program Manager,"great environment, culture & benefits",reorg is going on for a very long time
70,Red Hat,Great place to work at,2022-03-14,5.0,Software Engineer,The people here are incredibly friendly and helpful. I've learned a massive amount while working here.,The company is very large and it can be challenging to figure out the bigger picture of what's happening company wide.
71,Red Hat,"THEY'RE OKAY, NOT GREAT",2022-03-14,2.0,Account Representative,". product is a positive, people were okay. They're a bit high on themselves. 
Too much overhead in structure","Great product, their IBM acquisition was a little troublesome?
Management is iffy at best, new after IBM has been bad"
72,Red Hat,Great job low pay,2022-03-12,4.0,Senior Software Engineer,"Work/Life balance
Tech stack 
Openshift 
Benefits","Low pay 
Low PTO(PTO and sick time are the same thing) 
No WFH reimbursements."
73,Red Hat,Messy,2022-03-12,3.0,Solution Architect,Nice people and a very technical working environment,"Company is pathologically disorganized; additionally, most revenue is more-or-less guaranteed so sales teams aren't pushing what's possible"
74,Red Hat,Excellent Company to work for .,2022-03-11,5.0,Senior Data Analyst,Employees are the most priority of the company.,No such I found as of now.
75,Red Hat,Amazing company,2022-03-10,5.0,Business Analyst,"Amazing work culture, many opportunities to learn, linkedin learning is free and company pays upto 2000 USD for external courses per year",Pay is less compared to other similar companies.
76,Red Hat,Great,2022-03-09,5.0,Senior Software Engineer,"+ Remote
+ Open Source
+ Technical leadership","I liked it here, I left for a startup opportunity."
77,Red Hat,Interesting work,2022-03-09,4.0,Mechanical Engineer,"Good team, varied work and good staff perks",Occasional late finishes and deadlines could sometimes feel too short
78,Red Hat,"Great culture, open and  collaborative environment",2022-03-08,4.0,Talent Acquisition Specialist,"- The culture is fantastic
- A lot of collaboration, great team environment 
- Freedom to be yourself, have your thoughts heard, open forum for discussions 
- Opportunities to take on projects, passion projects, learning, and development","- Salaries are not competitive compared to the current market they need to keep up with the evolving talent market and adjust salaries accordingly to keep and attract talent 
- Benefits need to be looked at compared to the current market ie maternity leave increasing to 16-18weeks as many companies offer this now, stock/equity options for more employees not just Senior level and above"
79,Red Hat,All good,2022-03-08,5.0,Internship,"Very good company, big office, great people",Nothing nothing nothing all good
80,Red Hat,A great place to work,2022-03-08,5.0,Principal Consultant,"Open culture, ideas are always valued",Can’t find anything at the moment
81,Red Hat,Great Place To Work,2022-03-08,5.0,People Team Member,I have been with Red Hat for 2 years and this truly is an amazing place to work!,None that I can think of.
82,Red Hat,awesome  place to work,2022-03-08,4.0,Anonymous Employee,good work life balance and company culture.,not as such as of now
83,Red Hat,Great Company to work for,2022-03-08,5.0,Senior Software Engineer,"+ Flexible working hours
+ Work life balance
+ Working on Open Source projects
+ Open Culture",+ Salary lower than other big tech companies
84,Red Hat,Awesome company to work,2022-03-07,5.0,Red Hat,The best company to work with.,Nothing as such. Everything is great
85,Red Hat,Awesome workplace.,2022-03-07,5.0,Technical support-engineer,I think Innovative people and technology,I did not find any till now.
86,Red Hat,Open culture,2022-03-05,5.0,Anonymous Employee,Working with highly skilled seniors,No cons as of now
87,Red Hat,Decent company,2022-03-03,3.0,Software Engineer,"Great work life balance.
Nice culture.",Pay could be better. Compared to industry standards.
88,Red Hat,"Community and people-focused, a little chaotic, but good freedom to work",2022-03-02,5.0,Solution Architect,"I know what I need to do.
I have freedom to do it.
There is psychological safety, for the most part. Ideas are welcomed and considered.
I can contribute to improving the way my department works.
People at Red Hat encourage a healthy balance of life and work.",A bit chaotic at times.
89,Red Hat,Good Company,2022-03-02,5.0,Manager,"Open culture, freedom, WFH, Remote","Slow growth, Bad management, outdated tools"
90,Red Hat,Nice,2022-03-01,3.0,Technical Support Engineer,Learning is infinite and amazing culture,too much pressure work related
91,Red Hat,Very flexible and much freedom,2022-03-01,5.0,Program Manager,great work and life balance,"it's a huge corporate, hard to relate with the company, have meaningful connections. Or an impact beyond your role."
92,Red Hat,Great place to work,2022-02-28,5.0,Anonymous Employee,"Purpose driven, open organization that strives to make a positive impact on the world. Mostly trustworthy, authentic, and caring leadership at the most senior levels. Mostly excellent, talent, brilliant, and caring colleagues. Tons of opportunity across the organization. Strives to be inclusive.","It depends on what team you are on, some Managers are still more old fashioned and do not live the values or culture. Some politics where personal agendas and bad behaviors get rewarded. Still has work to being truly inclusive."
93,Red Hat,Cool,2022-02-28,5.0,IT Specialist,It was a great job,"Long hours some days, very busy"
94,Red Hat,Great company with great people,2022-02-28,4.0,Consultant,"Open source, friendly, passionate, and considerate company culture",PTO encouraged but not always practical to use
95,Red Hat,Good company,2022-02-27,5.0,Analyst,Good company to work in.,Nothing I can think of.
96,Red Hat,Great company to work,2022-02-26,5.0,Sales Operations Analyst,Work culture is great. We can maintain good work life balance. I like the point rewarding option provided here and it is encouraging.,Pay looks low compared to market
97,Red Hat,A company which is also a family,2022-02-25,5.0,Anonymous Employee,"Lots of hi tech companies like to “sale” themselves as a family to the employees. I can tell that in redhat this is actually true. All the people I know (even those who are abroad) are so understanding, pleasant and always wants to know how they can help - whether it is a personal matter or professional one. 
The salary is very attractive, so as the vacation days and the hybrid work which allows a home-work-life balance. 
Most recommended!",Maybe just the diversity of work that can be done :)
98,Red Hat,Awesome place to work at,2022-02-25,5.0,Software Engineer,Great work life balance at redhat,Nothing actually that I found
99,Red Hat,Good Place to launch career,2022-02-25,4.0,Anonymous Employee,"Red Hat has great benefits, generous PTO package, quarterly “recharge” days, overall good team members and ongoing developmental learning through Red Hat University.","Every company has their problems but Red Hat is definitely lacking in structure. Some Red Hatters aren’t as welcoming to newcomers on virtual calls, which took me by surprise. It’s definitely a sink or swim culture since many roles are brand new and teams can be as little as two people. leadership is pretty solid but would like to see more diversity in the leadership with fresh prospective and a bit more backbone."
100,Red Hat,Technology,2022-02-25,5.0,Director,"Open Management Practices; 
Best Place to work for individuals passionate about open opensource technology. Excellent Work environment giving individuals to express with all the freedom; encourages taking courages decisions; you will be in company of highly committed and accountable people when it comes to collaborating to help customer, business or wellbeing.",A big startup company -- so nothing to worry about.
101,Red Hat,Great Place to work,2022-02-24,4.0,Anonymous Employee,"career development, vision, and culture",No cons I can think of
102,Red Hat,good place to work,2022-02-24,4.0,Project Co-ordinators,good place to work and good team,non i can think of
103,Red Hat,Good place to work,2022-02-23,4.0,Sales Manager,RedHat's Open source Products and technology and the associates.,All the current transition and reorganization happening is creating a lot of uncertainty unnecessarily
104,Red Hat,Good Company,2022-02-22,4.0,Senior Consultant,Access to unlimited Red Hat training,Poor career progression paths other than consulting.
105,Red Hat,Great Place to Work,2022-02-21,5.0,Project Manager,"People, work, environment, pay, benefits","very collaborative, sometimes to a fault, seems like everything is a consensus so every decision takes a lot of time to resolve."
106,Red Hat,Incredible place to work,2022-02-21,5.0,Senior Manager,A very open environment to new ideas and out of the box thinking,lacking some structure but by design
107,Red Hat,Good employer,2022-02-21,4.0,Anonymous Employee,"- Regular bonuses
- Many career opportunities
- Fast growing","- The satisfaction depends on the team you land in. As in every larger company, there are teams with great management and teams with bad ones. I know both sides from Red Hat."
108,Red Hat,Top Company,2022-02-20,5.0,IT Support Engineer,"Amazing Culture, Great Benefits, Friendly Associates.",Salaries need to be corrected in CZ to match the increase in today's market.
109,Red Hat,Best company ever,2022-02-20,5.0,QA Engineer,The perfect balance between job and personal life. Excellent benefits and salaries,"Anything till now, all is perfect"
110,Red Hat,Best place to work,2022-02-20,5.0,Product Security Engineer,Best place to work in IT,No reason to consider in RedHat
111,Red Hat,You won't regret joining Red Hat.,2022-02-20,5.0,Software Quality Engineer,Really good work culture and people are very helpful.,None that I can recall
112,Red Hat,Review,2022-02-19,4.0,Sales Operations Manager,"People are fantastic, collaborative and open. Mgt takes the time to engage with associates. Recognition is a key priority across the organisation., thus great effort and calibration practiced every quarter.",Time management skills are key to thrive here.
113,Red Hat,Good work-life balance,2022-02-19,5.0,Anonymous Employee,"Good work-life balance
Opportunity for career growth
Good salary
Quiet and calm environment, allows to focus on work","Company culture is fine, but not as great as everyone says"
114,Red Hat,Good Work Environment,2022-02-18,5.0,Software Development Engineer (SDE),"Great team,good work life balance",Office politics among senior management
115,Red Hat,Good place in Raleigh,2022-02-18,5.0,Interaction Designer,"Great company culture, good work-life balance",Hiring process can take awhile
116,Red Hat,Red Hat has a very unique culture.  I will always love Red Hat,2022-02-18,5.0,Solutions Engineer,Great company culture. Good tech.,"Sales numbers are crazy.
Low pay"
117,Red Hat,Open culture Software Company,2022-02-17,4.0,Buesiness Analyst,"-Open culture and can grow in the company. 
- Feels good to work.","- Less pay
- Salary is not as expected with the current market"
118,Red Hat,Great culture with talented people,2022-02-17,5.0,Anonymous Employee,Great culture and well work balanced,Pay is not quite competetable
119,Red Hat,Great place to work!,2022-02-17,5.0,GLS Instructor & Consultant,The managers are friendly and encouraging.,Not something I can think of.
120,Red Hat,"Good company, great growth potential",2022-02-17,5.0,Principal Information Security Analyst,"Red Hat has exploded in size in the last ten years, but is working hard to keep internal transparency and culture intact. It acknowledges this is difficult openly, and I haven't seen any changes that are truly terrifying.","The rapid growth has promoted some people into management that frankly shouldn't be there. The ratio is still okay, but I'm concerned that hyper growth requires a relaxation of standards that might be a long term problem."
121,Red Hat,Great place to work!,2022-02-17,5.0,Technical Account Manager,"Great open culture, and easy access to resources and management.",I suppose the biggest con is size. Sometimes it feels like you are a minnow in a sea of fish.
122,Red Hat,Great company to work for,2022-02-17,5.0,Software Engineering Associate Manager,"- Lots of interesting things to work on
- Possibility to switch teams within the company
- Great opportunities for career growth","- Lower compensation
- US focused company culture"
123,Red Hat,Awesome place to work,2022-02-17,5.0,Senior Software Engineer,"Great management, valuing employees, great inclusive environment, a lot of interesting areas to work on. One can switch within the company to do something different if you're looking for something else to do.","Not sure, couldn't pin point one right now"
124,Red Hat,"Wholesome, collaborative and well-balanced",2022-02-16,5.0,Software Engineer,"Managers and colleagues definitely place your well-being above work, they are supporting and are willing to help you succeed with your task.","The company has few perks compared to FANG companies, compensations are average or even below average compared to top-tier companies."
125,Red Hat,"Great company and ethos, Pale Male Stale Aus leadership",2022-02-16,4.0,Technical Sales Specialist,"A great company culture overall for a massive US based firm, it really gets and lives the open-source ethos. From a techies perspective it can be a bit of a candy-land.","Some local management have been around a long time and there's a mysoginistic old boys leadership influence that is a bit disturbing in this day and age. It's not everywhere or always obvious, but it can leave one feeling a bit uneasy. Also you have to have 2 years in a role to be promoted / moved, not so great for developing careers of talented people."
126,Red Hat,Lost dazed and confused,2022-02-16,2.0,Senior Software Developer,"Orange County, California is the home of Disneyland",No one had any idea how the whole park worked.
127,Red Hat,"good people, less hikes, freedom and good work environment",2022-02-15,4.0,Software Engineer,"good work environment, good people","less hikes, complacency sometimes, distributed teams sometimes sync problem."
128,Red Hat,Amazing Company to Work For,2022-02-15,5.0,Solution Architect,An amazing organization with a great work culture.,I'm not saying it's perfect but the pros definitely outweigh the cons.
129,Red Hat,Good company,2022-02-14,4.0,Sales,Great People. Great culture and really cares about their customer,Weak CEO. Needs to focus on the rapidly changing market.
130,Red Hat,good,2022-02-14,4.0,Account Manager,Good culture and good training,expand product lines for customers
131,Red Hat,Great company to work at,2022-02-14,4.0,Senior Software Engineer,"Flexibility, Good culture, Opensource, Good learning growth",No cons. I really like to work here
132,Red Hat,Open culture,2022-02-14,4.0,Anonymous Employee,"Fascinating company, really interesting culture",Integration into IBM creates uncertainty
133,Red Hat,Awesome company,2022-02-14,5.0,Software Engineer,"Very transparent, Good culture and fundamentals","No cons, everything is awesome."
134,Red Hat,True open culture,2022-02-13,5.0,Senior Software Quality Engineer,"Open culture, learning resources, work life balance",Frequent changes in leadership hierarchy
135,Red Hat,With Big Freddom Cames Big Responsability,2022-02-13,4.0,Junior QA Engineer,"flexible working hours
perfect colleagues
nice opportunity for an internship","low salary
jobs can be boring on some projects"
136,Red Hat,Wonderful place to work and learn,2022-02-12,5.0,Software Quality Engineer,"You can learn and learn and learn. Millions of ways to explore yourself and improve the skill set. Good pay, great culture. Good work life balance","Nothing as such. 
Nothing to improve"
137,Red Hat,Great place to work,2022-02-11,4.0,Principal Software Engineer,"Good Engineering culture, engineers given a lot of freedom to work on on what they feel like.",Lack of focus of products
138,Red Hat,Great place to work,2022-02-11,4.0,Software Developer,great people and great environment.,Can be very demanding at times.
139,Red Hat,Excellent,2022-02-11,5.0,Principal Engineer,"Open-source company, with upstream first policy.","Restricted budget for travels, but not an issue in this COVID pandemics"
140,Red Hat,Fast paced company,2022-02-10,4.0,Business Analyst,Great benefits for their employees,A lot of change happening at once
141,Red Hat,Was a great company,2022-02-10,3.0,Automation Specialist,"Culture was the best, pay was great and health benefits were unmatched.",IBM purchased Red Hat a few years back and has been slowly destroying everything great about the company. I think as of to date we have had 4 different VP's in the last year because they keep leaving.
142,Red Hat,Company review,2022-02-09,4.0,Software Engineer,"Great WLB, work actively with opensource community",Salary packages when compared to other cloud providers.
143,Red Hat,"Good culture named ""Open"", But we should see after merging with IBM",2022-02-09,4.0,Channel Account Manager,"- Open culture is cool
- Reputation which is affecting opensource community as #1 leading opensource company","- IBM company now
- quite changeable situation for a few years"
144,Red Hat,Great company to work for,2022-02-08,5.0,Software Engineer,"Lots of learning opportunities
Great culture",Nothing as such. N/A N/A
145,Red Hat,Great Culture,2022-02-08,5.0,Sales,"High energy, compassionate, responsible company",not the best marketing execution
146,Red Hat,Great culture,2022-02-08,4.0,Software Maintenance Engineer,Great culture and Free LaCroix,Pay could be a little higher
147,Red Hat,Great,2022-02-07,5.0,Anonymous Employee,Working env is great fun,Nothing that comes to my mind
148,Red Hat,Great team,2022-02-06,5.0,Associate Software Engineer,"Flexible, inclusive, team culture, awesome, aweskme","None, none none none none"
149,Red Hat,great company,2022-02-05,5.0,Anonymous Employee,Great culture and collaboration is a must,too competitive environment and peer presure is high
150,Red Hat,Innovation is slowing down,2022-02-05,3.0,Staff Solutions Architect,Red Hat currently has a very advanced set of products.,The future vision is slowing down and the company is becoming a lot more reactive rather than proactive.
151,Red Hat,good,2022-02-04,4.0,Project Manager,"location, good pay, and friendly environment",long hours and no motivations
152,Red Hat,First Week,2022-02-04,5.0,Market Development Representative (MDR),Open source collaboration and culture,Lots of information and trainings
153,Red Hat,Good balance,2022-02-04,3.0,Architect,Flexible time off. work/life balance,Little autonomy to make decisions
154,Red Hat,Great. Until you get to the important stuff.,2022-02-04,3.0,Anonymous Employee,"- Culture can be great, but is very dependent on the team you are in and who is in management
- Overall stance on work-life balance for employees is good",- Transparent until pay scales are discussed
155,Red Hat,Great Experience,2022-02-03,4.0,Manager,"Fun work environment 
great co workers
fun office setti ng","long hours and no overtime
poor communication"
156,Red Hat,Great environment.,2022-02-03,5.0,Senior Technical Support,"Great environment
Flexible hours
Many benefits
Care for each employee",None that I have come across so far.
157,Red Hat,Awesome company to work at,2022-02-03,4.0,Technical Writer II,"- Learning curve: you will learn something new in here everyday
- Technically sounded teams
- Everyone is so much coordinating, either for work or in personal life too
- Clarity throughout the funnel
- Feels like a cool environment to work","- Compensation is not the best in the Indian market. Although still reasonable
- HR responses are slow, sometimes"
158,Red Hat,marketing,2022-02-02,4.0,Anonymous Employee,good pay and benefits in general,bad management in general. no upward movement
159,Red Hat,Sales Person is weaker than engineer or consultant,2022-02-02,3.0,Account Executive,Technical based consulting and engineering support are strong.,"Sales person doesn't have so much empowerment. therefore always need to communicate, negotiate, get approval from quite many stakeholder b/w them."
160,Red Hat,Great place to work & grow your career.,2022-02-01,5.0,Talent Acquisition,Open culture. Flexibility. Priority given to the work quality & performance. Appreciations to keep you motivated about your good work. Lot of growth opportunities.,No cons. I am happy with the company.
